id,x,y,metamorphic_control
98,-10,0,control-091
99,-10,0,control-027
100,-10,0,control-064
101,-10,0,control-000
102,-10,0,control-037
103,-10,0,control-074
104,-10,0,control-010
105,-10,0,control-047
106,-10,0,control-084
107,-10,0,control-020
108,-10,0,control-057
109,-10,0,control-094
110,-10,0,control-030
111,-10,0,control-067
112,-10,0,control-003
113,-10,0,control-040
114,-10,0,control-077
115,-10,0,control-013
116,-10,0,control-050
117,-10,0,control-087
118,-10,0,control-023
119,-10,0,control-060
120,-10,0,control-097
121,-10,0,control-033
122,-10,0,control-070
123,-10,0,control-006
124,-10,0,control-043
125,-10,0,control-080
126,-10,0,control-016
127,-10,0,control-053
128,-10,0,control-090
129,-10,0,control-026
130,-10,0,control-063
131,-10,0,control-100
132,-10,0,control-036
133,-10,0,control-073
134,-10,0,control-009
135,-10,0,control-046
136,-10,0,control-083
137,-10,0,control-019
138,-10,0,control-056
139,-10,0,control-093
140,-10,0,control-029
141,-10,0,control-066
142,-10,0,control-002
143,-10,0,control-039
144,-10,0,control-076
145,-10,0,control-012
146,-10,0,control-049
147,-10,0,control-086
148,-10,0,control-022
149,-10,0,control-059
150,-10,0,control-096
151,-10,0,control-032
152,-10,0,control-069
153,-10,0,control-005
154,-10,0,control-042
155,-10,0,control-079
156,-10,0,control-015
157,-10,0,control-052
158,-10,0,control-089
159,-10,0,control-025
160,-10,0,control-062
161,-10,0,control-099
162,-10,0,control-035
163,-10,0,control-072
164,-10,0,control-008
165,-10,0,control-045
166,-10,0,control-082
167,-10,0,control-018
168,-10,0,control-055
169,-10,0,control-092
170,-10,0,control-028
171,-10,0,control-065
172,-10,0,control-001
173,-10,0,control-038
174,-10,0,control-075
175,-10,0,control-011
176,-10,0,control-048
177,-10,0,control-085
178,-10,0,control-021
179,-10,0,control-058
180,-10,0,control-095
181,-10,0,control-031
182,-10,0,control-068
183,-10,0,control-004
184,-10,0,control-041
185,-10,0,control-078
186,-10,0,control-014
187,-10,0,control-051
188,-10,0,control-088
189,-10,0,control-024
190,-10,0,control-061
191,-10,0,control-098
192,-10,0,control-034
193,-10,0,control-071
194,-10,0,control-007
195,-10,0,control-044
196,-10,0,control-081
197,-10,0,control-017
198,-10,0,control-054
199,-10,0,control-091
200,-10,0,control-027
201,-10,0,control-064
202,-10,0,control-000
203,-10,0,control-037
204,-10,0,control-074
205,-10,0,control-010
206,-10,0,control-047
207,-10,0,control-084
208,-10,0,control-020
209,-10,0,control-057
210,-10,0,control-094
211,-10,0,control-030
212,-10,0,control-067
213,-10,0,control-003
214,-10,0,control-040
215,-10,0,control-077
216,-10,0,control-013
217,-10,0,control-050
218,-10,0,control-087
219,-10,0,control-023
220,-10,0,control-060
221,-10,0,control-097
222,-10,0,control-033
223,-10,0,control-070
224,-10,0,control-006
225,-10,0,control-043
226,-10,0,control-080
227,-10,0,control-016
228,-10,0,control-053
229,-10,0,control-090
230,-10,0,control-026
231,-10,0,control-063
232,-10,0,control-100
233,-10,0,control-036
234,-10,0,control-073
235,-10,0,control-009
236,-10,0,control-046
237,-10,0,control-083
238,-10,0,control-019
239,-10,0,control-056
240,-10,0,control-093
241,-10,0,control-029
242,-10,0,control-066
243,-10,0,control-002
244,-10,0,control-039
245,-10,0,control-076
246,-10,0,control-012
247,-10,0,control-049
248,-10,0,control-086
249,-10,0,control-022
250,-10,0,control-059
251,-10,0,control-096
252,-10,0,control-032
253,-10,0,control-069
254,-10,0,control-005
255,-10,0,control-042
256,-10,0,control-079
257,-10,0,control-015
258,-10,0,control-052
259,-10,0,control-089
260,-10,0,control-025
261,-10,0,control-062
262,-10,0,control-099
263,-10,0,control-035
264,-10,0,control-072
265,-10,0,control-008
266,-10,0,control-045
267,-10,0,control-082
268,-10,0,control-018
269,-10,0,control-055
270,-10,0,control-092
271,-10,0,control-028
272,-10,0,control-065
273,-10,0,control-001
274,-10,0,control-038
275,-10,0,control-075
276,-10,0,control-011
277,-10,0,control-048
278,-10,0,control-085
279,-10,0,control-021
280,-10,0,control-058
281,-10,0,control-095
282,-10,0,control-031
283,-10,0,control-068
284,-10,0,control-004
285,-10,0,control-041
286,-10,0,control-078
287,-10,0,control-014
288,-10,0,control-051
289,-10,0,control-088
290,-10,0,control-024
291,-10,0,control-061
292,-10,0,control-098
293,-10,0,control-034
294,-10,0,control-071
295,-10,0,control-007
296,-10,0,control-044
297,-10,0,control-081
298,-10,0,control-017
299,-10,0,control-054
300,-10,0,control-091
301,-10,0,control-027
302,-10,0,control-064
303,-10,0,control-000
304,-10,0,control-037
305,-10,0,control-074
306,-10,0,control-010
307,-10,0,control-047
308,-10,0,control-084
309,-10,0,control-020
310,-10,0,control-057
311,-10,0,control-094
312,-10,0,control-030
313,-10,0,control-067
314,-10,0,control-003
315,-10,0,control-040
316,-10,0,control-077
317,-10,0,control-013
318,-10,0,control-050
319,-10,0,control-087
320,-10,0,control-023
321,-10,0,control-060
322,-10,0,control-097
323,-10,0,control-033
324,-10,0,control-070
325,-10,0,control-006
326,-10,0,control-043
327,-10,0,control-080
328,-10,0,control-016
329,-10,0,control-053
330,-10,0,control-090
331,-10,0,control-026
332,-10,0,control-063
333,-10,0,control-100
334,-10,0,control-036
335,-10,0,control-073
336,-10,0,control-009
337,-10,0,control-046
338,-10,0,control-083
339,-10,0,control-019
340,-10,0,control-056
341,-10,0,control-093
342,-10,0,control-029
343,-10,0,control-066
344,-10,0,control-002
345,-10,0,control-039
346,-10,0,control-076
347,-10,0,control-012
348,-10,0,control-049
349,-10,0,control-086
350,-10,0,control-022
351,-10,0,control-059
352,-10,0,control-096
353,-10,0,control-032
354,-10,0,control-069
355,-10,0,control-005
356,-10,0,control-042
357,-10,0,control-079
358,-10,0,control-015
359,-10,0,control-052
360,-10,0,control-089
361,-10,0,control-025
362,-10,0,control-062
363,-10,0,control-099
364,-10,0,control-035
365,-10,0,control-072
366,-10,0,control-008
367,-10,0,control-045
368,-10,0,control-082
369,-10,0,control-018
370,-10,0,control-055
371,-10,0,control-092
372,-10,0,control-028
373,-10,0,control-065
374,-10,0,control-001
375,-10,0,control-038
376,-10,0,control-075
377,-10,0,control-011
378,-10,0,control-048
379,-10,0,control-085
380,-10,0,control-021
381,-10,0,control-058
382,-10,0,control-095
383,-10,0,control-031
384,-10,0,control-068
385,-10,0,control-004
386,-10,0,control-041
387,-10,0,control-078
388,-10,0,control-014
389,-10,0,control-051
390,-10,0,control-088
391,-10,0,control-024
392,-10,0,control-061
393,-10,0,control-098
394,-10,0,control-034
395,-10,0,control-071
396,-10,0,control-007
397,-10,0,control-044
398,-10,0,control-081
399,-10,0,control-017
400,-10,0,control-054
401,-10,0,control-091
402,-10,0,control-027
403,-10,0,control-064
404,-10,0,control-000
405,-10,0,control-037
406,-10,0,control-074
407,-10,0,control-010
408,-10,0,control-047
409,-10,0,control-084
410,-10,0,control-020
411,-10,0,control-057
412,-10,0,control-094
413,-10,0,control-030
414,-10,0,control-067
415,-10,0,control-003
416,-10,0,control-040
417,-10,0,control-077
418,-10,0,control-013
419,-10,0,control-050
420,-10,0,control-087
421,-10,0,control-023
422,-10,0,control-060
423,-10,0,control-097
424,-10,0,control-033
425,-10,0,control-070
426,-10,0,control-006
427,-10,0,control-043
428,-10,0,control-080
429,-10,0,control-016
430,-10,0,control-053
431,-10,0,control-090
432,-10,0,control-026
433,-10,0,control-063
434,-10,0,control-100
435,-10,0,control-036
436,-10,0,control-073
437,-10,0,control-009
438,-10,0,control-046
439,-10,0,control-083
440,-10,0,control-019
441,-10,0,control-056
442,-10,0,control-093
443,-10,0,control-029
444,-10,0,control-066
445,-10,0,control-002
446,-10,0,control-039
447,-10,0,control-076
448,-10,0,control-012
449,-10,0,control-049
450,-10,0,control-086
451,-10,0,control-022
452,-10,0,control-059
453,-10,0,control-096
454,-10,0,control-032
455,-10,0,control-069
456,-10,0,control-005
457,-10,0,control-042
458,-10,0,control-079
459,-10,0,control-015
460,-10,0,control-052
461,-10,0,control-089
462,-10,0,control-025
463,-10,0,control-062
464,-10,0,control-099
465,-10,0,control-035
466,-10,0,control-072
467,-10,0,control-008
468,-10,0,control-045
469,-10,0,control-082
470,-10,0,control-018
471,-10,0,control-055
472,-10,0,control-092
473,-10,0,control-028
474,-10,0,control-065
475,-10,0,control-001
476,-10,0,control-038
477,-10,0,control-075
478,-10,0,control-011
479,-10,0,control-048
480,-10,0,control-085
481,-10,0,control-021
482,-10,0,control-058
483,-10,0,control-095
484,-10,0,control-031
485,-10,0,control-068
486,-10,0,control-004
487,-10,0,control-041
488,-10,0,control-078
489,-10,0,control-014
490,-10,0,control-051
491,-10,0,control-088
492,-10,0,control-024
493,-10,0,control-061
494,-10,0,control-098
495,-10,0,control-034
496,-10,0,control-071
497,-10,0,control-007
498,-10,0,control-044
499,-10,0,control-081
500,10,0,control-017
501,10,0,control-054
502,10,0,control-091
503,10,0,control-027
504,10,0,control-064
505,10,0,control-000
506,10,0,control-037
507,10,0,control-074
508,10,0,control-010
509,10,0,control-047
510,10,0,control-084
511,10,0,control-020
512,10,0,control-057
513,10,0,control-094
514,10,0,control-030
515,10,0,control-067
516,10,0,control-003
517,10,0,control-040
518,10,0,control-077
519,10,0,control-013
520,10,0,control-050
521,10,0,control-087
522,10,0,control-023
523,10,0,control-060
524,10,0,control-097
525,10,0,control-033
526,10,0,control-070
527,10,0,control-006
528,10,0,control-043
529,10,0,control-080
530,10,0,control-016
531,10,0,control-053
532,10,0,control-090
533,10,0,control-026
534,10,0,control-063
535,10,0,control-100
536,10,0,control-036
537,10,0,control-073
538,10,0,control-009
539,10,0,control-046
540,10,0,control-083
541,10,0,control-019
542,10,0,control-056
543,10,0,control-093
544,10,0,control-029
545,10,0,control-066
546,10,0,control-002
547,10,0,control-039
548,10,0,control-076
549,10,0,control-012
550,10,0,control-049
551,10,0,control-086
552,10,0,control-022
553,10,0,control-059
554,10,0,control-096
555,10,0,control-032
556,10,0,control-069
557,10,0,control-005
558,10,0,control-042
559,10,0,control-079
560,10,0,control-015
561,10,0,control-052
562,10,0,control-089
563,10,0,control-025
564,10,0,control-062
565,10,0,control-099
566,10,0,control-035
567,10,0,control-072
568,10,0,control-008
569,10,0,control-045
570,10,0,control-082
571,10,0,control-018
572,10,0,control-055
573,10,0,control-092
574,10,0,control-028
575,10,0,control-065
576,10,0,control-001
577,10,0,control-038
578,10,0,control-075
579,10,0,control-011
580,10,0,control-048
581,10,0,control-085
582,10,0,control-021
583,10,0,control-058
584,10,0,control-095
585,10,0,control-031
586,10,0,control-068
587,10,0,control-004
588,10,0,control-041
589,10,0,control-078
590,10,0,control-014
591,10,0,control-051
592,10,0,control-088
593,10,0,control-024
594,10,0,control-061
595,10,0,control-098
596,10,0,control-034
597,10,0,control-071
598,10,0,control-007
599,10,0,control-044
600,10,0,control-081
601,10,0,control-017
602,10,0,control-054
603,10,0,control-091
604,10,0,control-027
605,10,0,control-064
606,10,0,control-000
607,10,0,control-037
608,10,0,control-074
609,10,0,control-010
610,10,0,control-047
611,10,0,control-084
612,10,0,control-020
613,10,0,control-057
614,10,0,control-094
615,10,0,control-030
616,10,0,control-067
617,10,0,control-003
618,10,0,control-040
619,10,0,control-077
620,10,0,control-013
621,10,0,control-050
622,10,0,control-087
623,10,0,control-023
624,10,0,control-060
625,10,0,control-097
626,10,0,control-033
627,10,0,control-070
628,10,0,control-006
629,10,0,control-043
630,10,0,control-080
631,10,0,control-016
632,10,0,control-053
633,10,0,control-090
634,10,0,control-026
635,10,0,control-063
636,10,0,control-100
637,10,0,control-036
638,10,0,control-073
639,10,0,control-009
640,10,0,control-046
641,10,0,control-083
642,10,0,control-019
643,10,0,control-056
644,10,0,control-093
645,10,0,control-029
646,10,0,control-066
647,10,0,control-002
648,10,0,control-039
649,10,0,control-076
650,10,0,control-012
651,10,0,control-049
652,10,0,control-086
653,10,0,control-022
654,10,0,control-059
655,10,0,control-096
656,10,0,control-032
657,10,0,control-069
658,10,0,control-005
659,10,0,control-042
660,10,0,control-079
661,10,0,control-015
662,10,0,control-052
663,10,0,control-089
664,10,0,control-025
665,10,0,control-062
666,10,0,control-099
667,10,0,control-035
668,10,0,control-072
669,10,0,control-008
670,10,0,control-045
671,10,0,control-082
672,10,0,control-018
673,10,0,control-055
674,10,0,control-092
675,10,0,control-028
676,10,0,control-065
677,10,0,control-001
678,10,0,control-038
679,10,0,control-075
680,10,0,control-011
681,10,0,control-048
682,10,0,control-085
683,10,0,control-021
684,10,0,control-058
685,10,0,control-095
686,10,0,control-031
687,10,0,control-068
688,10,0,control-004
689,10,0,control-041
690,10,0,control-078
691,10,0,control-014
692,10,0,control-051
693,10,0,control-088
694,10,0,control-024
695,10,0,control-061
696,10,0,control-098
697,10,0,control-034
698,10,0,control-071
699,10,0,control-007
700,10,0,control-044
701,10,0,control-081
702,10,0,control-017
703,10,0,control-054
704,10,0,control-091
705,10,0,control-027
706,10,0,control-064
707,10,0,control-000
708,10,0,control-037
709,10,0,control-074
710,10,0,control-010
711,10,0,control-047
712,10,0,control-084
713,10,0,control-020
714,10,0,control-057
715,10,0,control-094
716,10,0,control-030
717,10,0,control-067
718,10,0,control-003
719,10,0,control-040
720,10,0,control-077
721,10,0,control-013
722,10,0,control-050
723,10,0,control-087
724,10,0,control-023
725,10,0,control-060
726,10,0,control-097
727,10,0,control-033
728,10,0,control-070
729,10,0,control-006
730,10,0,control-043
731,10,0,control-080
732,10,0,control-016
733,10,0,control-053
734,10,0,control-090
735,10,0,control-026
736,10,0,control-063
737,10,0,control-100
738,10,0,control-036
739,10,0,control-073
740,10,0,control-009
741,10,0,control-046
742,10,0,control-083
743,10,0,control-019
744,10,0,control-056
745,10,0,control-093
746,10,0,control-029
747,10,0,control-066
748,10,0,control-002
749,10,0,control-039
750,10,0,control-076
751,10,0,control-012
752,10,0,control-049
753,10,0,control-086
754,10,0,control-022
755,10,0,control-059
756,10,0,control-096
757,10,0,control-032
758,10,0,control-069
759,10,0,control-005
760,10,0,control-042
761,10,0,control-079
762,10,0,control-015
763,10,0,control-052
764,10,0,control-089
765,10,0,control-025
766,10,0,control-062
767,10,0,control-099
768,10,0,control-035
769,10,0,control-072
770,10,0,control-008
771,10,0,control-045
772,10,0,control-082
773,10,0,control-018
774,10,0,control-055
775,10,0,control-092
776,10,0,control-028
777,10,0,control-065
778,10,0,control-001
779,10,0,control-038
780,10,0,control-075
781,10,0,control-011
782,10,0,control-048
783,10,0,control-085
784,10,0,control-021
785,10,0,control-058
786,10,0,control-095
787,10,0,control-031
788,10,0,control-068
789,10,0,control-004
790,10,0,control-041
791,10,0,control-078
792,10,0,control-014
793,10,0,control-051
794,10,0,control-088
795,10,0,control-024
796,10,0,control-061
797,10,0,control-098
798,10,0,control-034
799,10,0,control-071
800,10,0,control-007
801,10,0,control-044
802,10,0,control-081
803,10,0,control-017
804,10,0,control-054
805,10,0,control-091
806,10,0,control-027
807,10,0,control-064
808,10,0,control-000
809,10,0,control-037
810,10,0,control-074
811,10,0,control-010
812,10,0,control-047
813,10,0,control-084
814,10,0,control-020
815,10,0,control-057
816,10,0,control-094
817,10,0,control-030
818,10,0,control-067
819,10,0,control-003
820,10,0,control-040
821,10,0,control-077
822,10,0,control-013
823,10,0,control-050
824,10,0,control-087
825,10,0,control-023
826,10,0,control-060
827,10,0,control-097
828,10,0,control-033
829,10,0,control-070
830,10,0,control-006
831,10,0,control-043
832,10,0,control-080
833,10,0,control-016
834,10,0,control-053
835,10,0,control-090
836,10,0,control-026
837,10,0,control-063
838,10,0,control-100
839,10,0,control-036
840,10,0,control-073
841,10,0,control-009
842,10,0,control-046
843,10,0,control-083
844,10,0,control-019
845,10,0,control-056
846,10,0,control-093
847,10,0,control-029
848,10,0,control-066
849,10,0,control-002
850,10,0,control-039
851,10,0,control-076
852,10,0,control-012
853,10,0,control-049
854,10,0,control-086
855,10,0,control-022
856,10,0,control-059
857,10,0,control-096
858,10,0,control-032
859,10,0,control-069
860,10,0,control-005
861,10,0,control-042
862,10,0,control-079
863,10,0,control-015
864,10,0,control-052
865,10,0,control-089
866,10,0,control-025
867,10,0,control-062
868,10,0,control-099
869,10,0,control-035
870,10,0,control-072
871,10,0,control-008
872,10,0,control-045
873,10,0,control-082
874,10,0,control-018
875,10,0,control-055
876,10,0,control-092
877,10,0,control-028
878,10,0,control-065
879,10,0,control-001
880,10,0,control-038
881,10,0,control-075
882,10,0,control-011
883,10,0,control-048
884,10,0,control-085
885,10,0,control-021
886,10,0,control-058
887,10,0,control-095
888,10,0,control-031
889,10,0,control-068
890,10,0,control-004
891,10,0,control-041
892,10,0,control-078
893,10,0,control-014
894,10,0,control-051
895,10,0,control-088
896,10,0,control-024
897,10,0,control-061
898,10,0,control-098
899,10,0,control-034
900,10,0,control-071
901,10,0,control-007
902,10,0,control-044
903,10,0,control-081
904,10,0,control-017
905,10,0,control-054
906,10,0,control-091
907,10,0,control-027
908,10,0,control-064
909,10,0,control-000
910,10,0,control-037
911,10,0,control-074
912,10,0,control-010
913,10,0,control-047
914,10,0,control-084
915,10,0,control-020
916,10,0,control-057
917,10,0,control-094
918,10,0,control-030
919,10,0,control-067
920,10,0,control-003
921,10,0,control-040
922,10,0,control-077
923,10,0,control-013
924,10,0,control-050
925,10,0,control-087
926,10,0,control-023
927,10,0,control-060
928,10,0,control-097
929,10,0,control-033
930,10,0,control-070
931,10,0,control-006
932,10,0,control-043
933,10,0,control-080
934,10,0,control-016
935,10,0,control-053
936,10,0,control-090
937,10,0,control-026
938,10,0,control-063
939,10,0,control-100
940,10,0,control-036
941,10,0,control-073
942,10,0,control-009
943,10,0,control-046
944,10,0,control-083
945,10,0,control-019
946,10,0,control-056
947,10,0,control-093
948,10,0,control-029
949,10,0,control-066
950,10,0,control-002
951,10,0,control-039
952,10,0,control-076
953,10,0,control-012
954,10,0,control-049
955,10,0,control-086
956,10,0,control-022
957,10,0,control-059
958,10,0,control-096
959,10,0,control-032
960,10,0,control-069
961,10,0,control-005
962,10,0,control-042
963,10,0,control-079
964,10,0,control-015
965,10,0,control-052
966,10,0,control-089
967,10,0,control-025
968,10,0,control-062
969,10,0,control-099
970,10,0,control-035
971,10,0,control-072
972,10,0,control-008
973,10,0,control-045
974,10,0,control-082
975,10,0,control-018
976,10,0,control-055
977,10,0,control-092
978,10,0,control-028
979,10,0,control-065
980,10,0,control-001
981,10,0,control-038
982,10,0,control-075
983,10,0,control-011
984,10,0,control-048
985,10,0,control-085
986,10,0,control-021
987,10,0,control-058
988,10,0,control-095
989,10,0,control-031
990,10,0,control-068
991,10,0,control-004
992,10,0,control-041
993,10,0,control-078
994,10,0,control-014
995,10,0,control-051
996,10,0,control-088
997,10,0,control-024
998,10,0,control-061
999,10,0,control-098
