id,x,y,z,category
158,-0.81463099,0.82674540,0.85708728,c2
159,0.34585021,0.78624521,-0.72495434,c2
160,0.49716316,0.98530732,-0.86488147,c2
161,-0.15654240,-0.25830351,-0.17711355,c5
162,0.49071584,-0.75065522,0.09457356,c5
163,-0.41787128,-0.72426076,0.33058769,c3
164,-0.47863773,0.00188773,0.64257594,c4
165,-0.56003511,0.03611287,-0.75975392,c0
166,0.56516523,0.13292410,-0.03579666,c3
167,0.64431064,-0.35178209,0.39105306,c3
168,-0.91780370,-0.73794389,0.41701877,c5
169,0.94753490,0.00027230,-0.27367396,c1
170,0.50481706,-0.91384354,-0.94939814,c1
171,-0.57218775,-0.34653240,0.62553968,c6
172,-0.64903959,-0.14797538,-0.24891992,c0
173,0.91490419,-0.62287476,-0.13864293,c2
174,-0.03758821,-0.04595693,0.01065999,c4
175,0.04094041,0.80885280,0.18166106,c2
176,0.86809041,0.65683354,0.32215853,c1
177,0.91619998,0.23970024,-0.48341452,c6
178,0.77233053,-0.05708672,0.19853423,c2
179,0.42989264,-0.47568385,0.81054637,c0
180,0.16816270,-0.51464872,0.81741845,c3
181,-0.82405993,0.11610400,0.47927325,c6
182,0.57559500,0.74542456,0.29064669,c0
183,0.00375708,0.22737839,-0.50815963,c3
184,-0.59510568,0.19527438,-0.44121024,c0
185,0.19403292,-0.88547868,-0.92230204,c2
186,0.44486757,-0.33443749,0.91068511,c5
187,-0.74048752,0.48813841,-0.94129653,c6
188,-0.02385705,-0.18187251,-0.87203198,c1
189,0.37077759,-0.95178484,0.80615282,c3
190,0.50945121,0.74364085,-0.74539712,c4
191,-0.59297177,0.14427320,0.82281169,c0
192,0.14890687,-0.31573661,0.99141441,c5
193,-0.36813620,0.56052656,0.94994668,c5
194,-0.41971048,-0.11869858,-0.28438103,c0
195,-0.00593565,0.42603790,-0.80064332,c2
196,0.68432500,0.54786300,0.12535574,c4
197,-0.94662815,0.24987473,-0.78959600,c4
198,0.77496673,-0.03348581,0.50921802,c5
199,0.53127145,-0.91873426,0.33204571,c6
200,0.46267688,-0.28806466,-0.35921556,c0
201,0.48677270,-0.20524302,0.32986486,c6
202,-0.85729230,-0.00142273,0.29815026,c0
203,0.11719081,-0.49963188,0.71810170,c5
204,0.10838268,0.15331757,-0.59154143,c6
205,0.18392791,-0.92125126,0.71668497,c5
206,-0.71062210,0.21311686,0.81743157,c2
207,-0.93674570,-0.15866547,-0.16673685,c6
208,-0.38499682,-0.35232501,0.68390180,c3
209,0.42208969,-0.68449642,-0.92976432,c5
210,-0.99751657,-0.79291268,-0.50065657,c0
211,0.51878445,0.15473260,0.75678423,c6
212,-0.02976019,-0.10549901,0.73240345,c4
213,-0.87109914,0.17375319,-0.99409605,c6
214,0.87617103,-0.93622888,0.09843297,c5
215,0.09599437,-0.49129192,0.79643471,c3
216,0.78093460,-0.35788289,-0.54598155,c5
217,-0.49260514,0.90230739,-0.31990764,c4
218,-0.06377194,0.47777885,-0.68348707,c0
219,-0.50501216,-0.88601514,0.11349998,c3
220,-0.10192978,-0.18732699,0.00856734,c0
221,-0.33900423,-0.54494589,0.41521913,c0
222,-0.73491752,-0.11995076,-0.57233831,c0
223,0.12875924,-0.55113508,0.34778108,c6
224,-0.95823003,0.62714646,-0.55936368,c2
225,0.21851828,-0.38404058,-0.67528190,c6
226,-0.37319710,0.56284912,0.90322322,c3
227,0.74819358,-0.61577160,-0.75740534,c4
228,-0.57370225,0.73034339,-0.69542280,c2
229,-0.04083228,0.12406751,-0.06196127,c4
230,-0.90790145,-0.19522653,-0.96319284,c3
231,-0.93293352,-0.69146646,-0.73022702,c1
232,-0.61494189,0.31589782,0.28950739,c6
233,-0.56245997,-0.20149931,-0.17435390,c3
234,0.66331928,-0.00425461,0.56928875,c2
235,-0.61295578,0.25281674,0.25466396,c6
236,-0.00440379,0.25127191,0.84430997,c1
237,0.60862179,0.66345940,-0.77597907,c3
238,-0.10054443,-0.23798390,0.31380886,c0
239,0.22268367,-0.98430752,0.00113111,c0
240,0.70459785,-0.79724406,-0.19736640,c0
241,0.45279020,-0.92677780,-0.33934044,c2
242,0.54113853,-0.90883507,-0.21922603,c0
243,-0.07356764,-0.71164660,0.91655359,c6
244,0.95288944,0.76046832,-0.99210740,c6
245,0.60081306,0.83714580,0.57907395,c1
246,0.13563989,0.45709937,-0.19714378,c2
247,0.31362840,0.77957025,0.63682617,c1
248,-0.19956198,0.56335559,-0.06173309,c4
249,0.95884884,0.34466499,-0.03620831,c6
250,-0.33812801,-0.05494499,-0.84000666,c4
251,0.28750056,0.34069190,0.65135925,c4
252,-0.44864874,-0.57580760,0.33170206,c6
253,-0.66655339,-0.30970728,0.96535600,c2
254,-0.84461218,0.37659556,-0.79561129,c2
255,-0.53583177,-0.90935465,0.92807885,c6
256,-0.62112255,0.45458154,0.81090926,c0
257,-0.94345394,-0.20137994,0.52532570,c4
258,-0.66661903,0.43461289,0.48551131,c4
259,-0.20235859,-0.45906426,0.53842664,c0
260,0.95040550,0.18995391,-0.49163470,c4
261,0.61047751,-0.45068381,0.00127526,c0
262,-0.78031431,-0.21167306,-0.62490423,c2
263,-0.79517926,0.72064632,0.28235988,c1
264,0.05246496,-0.28543145,0.69131261,c2
265,-0.74703809,0.90212843,-0.20820523,c2
266,-0.23022319,0.21828583,0.69214233,c5
267,-0.80950251,-0.69856155,-0.68664853,c6
268,0.21572600,-0.21348738,-0.61324074,c3
269,0.64211084,0.02188221,-0.03851005,c1
270,-0.50423017,0.74136577,0.32791686,c4
271,0.47235352,0.72255165,-0.23661006,c0
272,0.33999939,-0.03729861,0.00647892,c6
273,0.46142649,0.40348111,0.86598213,c1
274,0.09142083,0.73577111,-0.12904915,c6
275,0.60596137,0.31580355,-0.63202056,c5
276,0.31923657,-0.27612172,0.97201090,c6
277,0.04480169,-0.00309319,-0.22309173,c5
278,0.05712656,-0.93396569,-0.76795857,c4
279,-0.39021585,0.43058988,0.09113974,c6
280,0.66652957,-0.40038517,-0.66033986,c4
281,0.00151987,0.33221912,-0.49307904,c3
282,0.32492437,-0.79198402,-0.73074866,c0
283,-0.40982437,-0.44111547,0.75040625,c5
284,0.13911105,0.29331068,-0.57450282,c4
285,-0.15874488,-0.35544401,-0.96531158,c0
286,-0.11650777,0.37390483,0.41290894,c2
287,0.36638019,-0.53976049,-0.35817001,c1
288,-0.63664569,-0.19280638,-0.56964178,c1
289,-0.40092788,-0.00086652,0.12989448,c0
290,-0.59685125,0.63721772,-0.70939177,c3
291,-0.90446715,0.28678493,-0.83502239,c6
292,0.45977327,0.56731956,0.06484505,c5
293,-0.53957379,0.41624578,-0.02176140,c3
294,0.86085315,0.05779960,-0.64779116,c3
295,-0.10234077,-0.29177094,0.44793139,c1
296,0.66802245,0.54857254,-0.82567489,c3
297,-0.61383667,-0.00373480,-0.19356412,c4
298,-0.83479471,-0.19317642,-0.50516401,c4
299,-0.51932439,0.03685826,-0.02771078,c0
300,-0.02810296,0.39966470,0.36393146,c1
301,0.73752006,-0.95535781,-0.49278298,c6
302,-0.21855435,-0.70820912,0.68788057,c6
303,0.76538885,-0.64746295,0.19816463,c5
304,0.72433283,0.56813635,-0.37643723,c1
305,-0.09887642,0.19690530,0.26432837,c2
306,0.35645533,-0.71846916,0.59799907,c6
307,0.51049648,0.62770804,0.18918678,c5
308,-0.72759379,0.42535587,-0.04711664,c2
309,-0.08600828,-0.45633877,-0.82246811,c2
310,0.34375606,-0.96879906,0.21411361,c3
311,0.93758663,0.85239198,0.23750044,c3
312,-0.41766575,-0.60848019,-0.01367685,c0
313,0.08853293,-0.24440521,-0.11239484,c5
314,0.62851020,-0.59271324,0.47241192,c3
315,-0.64386195,0.15918777,0.48876600,c2
316,0.86447460,0.06065283,0.61807770,c4
317,-0.36245371,-0.79153108,-0.79865861,c0
318,-0.84747929,0.01260204,0.88134739,c0
319,-0.21147987,0.94827239,-0.43284050,c5
320,-0.80167444,-0.67439230,-0.37289180,c6
321,-0.70077852,-0.89187531,-0.28345056,c3
322,0.53923122,0.31128861,0.14663900,c6
323,0.59499289,-0.98759903,-0.79962742,c5
324,-0.84247396,-0.49693466,0.30214145,c5
325,0.96213883,0.61548128,0.44705375,c5
326,-0.28127407,0.75381645,0.79627137,c3
327,0.09870695,0.66190677,0.84461252,c0
328,-0.56514442,-0.54146523,0.06666988,c4
329,-0.70973070,-0.02846399,-0.55230558,c3
330,-0.44727028,-0.09801635,-0.19450525,c2
331,0.21070358,-0.15029883,0.30960222,c0
332,0.46723435,-0.26864683,-0.89604845,c1
333,-0.65202556,-0.37763568,0.43932715,c1
334,0.45960805,-0.44608357,-0.77817500,c6
335,0.05491466,-0.70372634,0.38358020,c1
336,0.06072314,-0.34031420,0.98201014,c6
337,0.22500646,-0.65588023,-0.56617670,c0
338,0.03936702,-0.13093086,0.79004363,c2
339,-0.40683730,-0.38530813,-0.54169938,c4
340,-0.98447663,0.50552608,-0.72136504,c4
341,0.66150818,-0.63196594,-0.64093019,c4
342,0.69865338,0.49322426,0.57719774,c5
343,-0.74983917,0.43560156,0.15403325,c5
344,0.75097707,0.57969555,0.20638094,c5
345,0.67301304,-0.49458301,0.68396929,c5
346,-0.72424553,-0.31650764,-0.40239991,c2
347,-0.46148717,-0.46777341,-0.05543651,c0
348,0.93056692,0.36684385,-0.76243137,c4
349,-0.82455487,0.27265651,0.04343993,c1
350,0.66559827,-0.56668781,0.43782905,c3
351,0.68371306,-0.05463101,-0.21780763,c4
352,-0.91308381,-0.34955122,-0.27071579,c0
353,-0.38988087,0.01621868,0.86341558,c1
354,-0.55524662,0.59745057,-0.11827140,c6
355,0.24914654,-0.89159114,0.72273654,c1
356,0.24678882,0.63781624,-0.45162049,c6
357,-0.43125963,0.03764769,-0.01415430,c4
358,-0.50357096,0.01700249,-0.46459164,c3
359,0.76108890,-0.02769554,0.55052827,c5
360,0.55608934,-0.91491974,-0.30352807,c4
361,0.41840480,-0.28143415,0.29369539,c2
362,-0.36452491,-0.35560897,0.45224359,c0
363,-0.66629359,0.13059217,0.40341546,c2
364,0.90486292,-0.57779699,0.93494455,c0
365,0.92659898,-0.35432639,-0.66405466,c6
366,-0.76661799,-0.33163258,-0.24212486,c2
367,-0.70594405,0.94438649,-0.60223836,c2
368,0.55229534,-0.12202524,0.40994604,c3
369,0.88620013,0.73574953,-0.04740809,c5
370,-0.15671908,-0.36098899,-0.72479048,c5
371,-0.19291498,0.66738005,-0.74655405,c5
372,0.75171303,-0.39498607,0.27739071,c4
373,0.74047604,-0.63934971,0.89964705,c1
374,0.82494352,-0.40727074,0.14941884,c3
375,-0.49936823,-0.42915640,0.91886318,c0
376,0.37558302,-0.19523296,0.32795850,c2
377,-0.79191481,0.47231072,-0.52586165,c5
378,0.96978219,-0.82274222,-0.52705915,c1
379,0.09042495,-0.93137398,-0.80407627,c1
380,-0.45948701,0.85250876,0.61209495,c2
381,0.90807663,0.72774375,0.13910902,c6
382,0.12584990,0.77666027,0.91047892,c1
383,0.00508395,0.84215430,-0.63494638,c4
384,-0.76774879,-0.57765813,0.06501125,c1
385,-0.01510993,-0.38595955,-0.85138210,c2
386,0.82284025,0.63632859,-0.67599797,c6
387,0.01111878,-0.03456642,-0.18980551,c5
388,0.93068662,-0.38780273,-0.86831579,c0
389,-0.26664418,0.57337000,-0.82726054,c5
390,-0.10291253,-0.01201729,-0.60225518,c2
391,0.83793007,0.03004711,0.64380363,c2
392,0.23484874,0.06883400,0.39185626,c0
393,0.22369484,0.12797972,-0.07743621,c3
394,0.11656641,0.17467073,0.26320752,c3
395,0.80280909,0.27015627,0.33185394,c2
396,0.48790775,-0.88716077,-0.81496455,c2
397,-0.07348130,-0.99480494,0.77519659,c5
398,-0.19410745,-0.22423115,0.12415600,c0
399,-0.56406229,0.68750055,0.31883394,c1
400,0.40217443,-0.13637178,0.23549546,c5
401,-0.66217041,-0.73758043,-0.60124080,c3
402,0.47132200,-0.26801856,0.88162175,c3
403,-0.89461155,-0.82360242,-0.34725222,c5
404,-0.31589980,-0.63555561,0.27727562,c5
405,0.60402033,-0.58786506,0.37738859,c0
406,0.42575149,0.47034096,0.75890191,c2
407,0.64212444,0.64874312,-0.38988476,c1
408,0.65927711,-0.29264072,0.67918083,c3
409,-0.85312562,-0.45309901,-0.16376266,c1
410,0.41371836,-0.97079200,0.92655920,c1
411,0.96499944,0.15901104,0.32097171,c3
412,-0.10256218,-0.84172746,0.06978167,c2
413,-0.71143420,0.46435565,0.06647367,c1
414,-0.76359940,0.18327130,0.12742200,c2
415,0.70575783,0.02925334,-0.60613177,c6
416,-0.16254438,-0.71808805,0.96241431,c0
417,-0.12334070,0.79221500,0.15028141,c2
418,-0.62338319,-0.43145232,-0.69841569,c3
419,-0.16596536,0.97410016,0.54087144,c5
420,0.41234442,0.06683343,0.38018056,c5
421,-0.09088981,0.11327322,0.58586003,c0
422,0.62382622,0.80738213,0.21140574,c5
423,-0.71764452,-0.77424026,0.20256362,c5
424,0.67425877,-0.94957900,0.48094785,c4
425,0.15926443,0.09040263,-0.08757538,c0
426,-0.30087132,0.63344774,0.06651153,c5
427,0.57113662,-0.34098154,0.17304267,c4
428,0.41949383,0.44388682,-0.81765076,c4
429,0.80085857,-0.40844634,-0.66479411,c3
430,-0.11973533,0.01674572,0.14879256,c1
431,-0.56631505,0.91624082,0.22492211,c6
432,-0.18651460,0.25727118,0.78678341,c0
433,-0.96698016,-0.18524511,-0.64954983,c5
434,0.62661529,-0.71139456,0.43740532,c5
435,-0.55880202,0.53236945,0.73433110,c6
436,-0.98419011,-0.57555751,0.60641467,c6
437,0.70526603,-0.58688701,0.37041943,c6
438,-0.79579772,-0.73331565,0.23377193,c2
439,-0.37223617,0.05992510,-0.69408559,c2
440,-0.19481566,0.92809727,-0.41182706,c3
441,-0.05749439,-0.38018721,-0.65160874,c1
442,0.31068798,0.37996805,0.78658014,c6
443,0.11536127,0.19400665,-0.60216756,c1
444,-0.79553359,0.92476020,0.93875379,c2
445,0.77003764,-0.62688279,0.40365887,c6
446,-0.29962462,-0.20622974,-0.08321670,c4
447,-0.26114031,-0.10270890,0.94676121,c4
448,-0.89434560,-0.13021596,0.74961840,c0
449,0.73855182,0.44136734,-0.55346890,c2
450,-0.19079193,0.53473283,0.64260042,c6
451,-0.32898091,-0.47496642,0.99289238,c5
452,-0.10511277,-0.35765029,0.62199357,c4
453,0.54912848,0.54798236,0.80333241,c1
454,-0.62022971,0.61582574,-0.19548388,c5
455,-0.95250989,-0.04993266,0.30493323,c1
456,0.07744444,0.67046624,0.29187173,c4
457,-0.32176145,0.49645957,-0.15859712,c2
458,-0.91371311,0.16134706,0.69028064,c2
459,0.59181401,-0.31219625,0.00510664,c5
460,-0.09725382,-0.94402921,0.25501094,c5
461,0.00274362,-0.70462557,-0.40590176,c6
462,-0.84037665,0.53192303,-0.34009016,c3
463,0.24042267,0.02123232,0.19415116,c3
464,0.98935326,-0.30047135,0.39193489,c3
465,-0.57510412,-0.71661951,-0.61421018,c4
466,-0.98771423,-0.55049200,0.77068523,c1
467,0.76763861,0.12592067,0.57632092,c0
468,-0.05003292,-0.57436679,0.59293287,c3
469,-0.50266185,-0.74579055,-0.54313542,c3
470,0.86342089,0.12238442,0.40215392,c2
471,-0.58932505,0.19501456,-0.91561430,c2
472,0.01642969,0.10760602,-0.61694017,c3
473,-0.95189612,-0.41832888,-0.41127488,c0
474,-0.63618396,0.37016290,-0.11887134,c4
475,-0.50536454,0.56423787,0.50463091,c0
476,0.66472376,-0.20740327,0.54713632,c5
477,-0.19438286,-0.65534657,-0.27121037,c3
478,-0.77910078,-0.25121783,0.10668781,c0
479,0.05751453,0.83689258,-0.89814243,c3
480,-0.76002742,-0.17341687,-0.24525149,c0
481,0.02369263,-0.54787754,0.61549197,c4
482,0.82373903,0.67550905,0.17517537,c4
483,-0.52480285,-0.99114115,-0.75561768,c3
484,0.58144005,-0.02062888,-0.81475178,c2
485,0.10653568,-0.23187760,0.40328159,c6
486,-0.13195531,-0.44606147,0.00520097,c2
487,-0.91354103,0.59359490,0.02903745,c3
488,0.64753074,-0.43040526,0.15275288,c1
489,0.23374222,0.23677555,-0.71237642,c3
490,0.98116605,-0.10100630,0.96263983,c5
491,0.81796625,-0.25286287,-0.09382914,c1
492,0.14078979,0.58971614,-0.26885446,c1
493,-0.01470117,0.00728235,0.12999866,c5
494,-0.65290639,-0.53807422,0.48563283,c5
495,0.80927587,0.39310003,-0.69535393,c5
496,0.13290300,0.83102561,-0.62092511,c0
497,-0.03341729,0.55892138,-0.91709684,c2
498,0.33145845,-0.64468588,0.70958648,c6
499,-0.96216466,-0.65232377,-0.74315777,c2
500,-0.31030322,-0.99135844,-0.43504477,c2
501,-0.56663832,0.82604932,0.21484904,c3
502,-0.89346768,-0.82193381,-0.90782713,c1
503,0.94398280,-0.55536351,0.02365411,c1
504,-0.50386181,-0.11348948,0.39196649,c5
505,-0.08320581,0.32310098,0.13536390,c0
506,0.27622755,0.14041758,-0.96167023,c4
507,-0.94405300,0.66032967,-0.28050788,c3
508,-0.51866513,-0.59759286,0.22305424,c2
509,0.84842931,0.26958931,0.61999095,c6
510,-0.49890286,0.18893201,0.52526054,c2
511,0.61484734,-0.76131721,0.93728229,c4
512,0.44353514,-0.20706578,0.30592965,c3
513,-0.81479326,0.71510537,-0.76471098,c3
514,-0.87666532,-0.86849867,0.72743416,c6
515,-0.80030619,0.81620096,-0.62653375,c1
516,-0.32487211,0.71852266,-0.60193047,c4
517,-0.96554321,-0.33568166,-0.03616742,c6
518,-0.20822560,-0.23765448,0.64158527,c0
519,0.35238706,-0.45303256,0.45300130,c5
520,0.58764267,0.38843149,0.39171630,c3
521,-0.72109958,0.20197555,-0.17078829,c0
522,0.08689116,0.98701266,-0.28828589,c1
523,-0.79728165,-0.77235639,-0.04563968,c3
524,0.33674965,0.68574787,0.93887804,c5
525,-0.79835079,-0.38209757,-0.47896787,c5
526,0.14580044,0.94737897,0.45408654,c6
527,0.09336955,0.42246897,0.63453185,c5
528,-0.55274038,0.29238708,0.07632841,c0
529,0.11120533,0.53200255,0.01991517,c2
530,-0.71274167,0.14664881,-0.91776594,c3
531,0.20491318,-0.41173886,0.85402003,c4
532,-0.56187601,-0.18590746,0.85060673,c5
533,0.96646163,0.01925760,-0.77750219,c5
534,-0.36333843,0.57435464,0.13195379,c6
535,-0.81918762,0.19941589,-0.79815536,c6
536,0.44743481,0.90543577,0.94301793,c1
537,0.00170154,0.73472738,0.56643262,c2
538,-0.24895249,0.83135706,-0.91369153,c3
539,0.75242090,-0.12709293,-0.87945892,c0
540,0.85742474,-0.60518357,-0.70536744,c6
541,0.35159914,0.03854985,-0.34461218,c6
542,0.24409413,-0.74515521,-0.99937353,c4
543,0.36398313,-0.50671329,-0.46883962,c0
544,0.91946708,0.40946231,0.73128681,c2
545,-0.32378087,-0.87905894,0.88404725,c0
546,-0.58887997,-0.95666532,-0.87249821,c1
547,0.79763408,0.33768492,-0.54173082,c3
548,0.37907573,-0.49957068,0.58858248,c6
549,-0.21398318,0.12719520,0.06311037,c0
550,0.85408444,-0.61832831,-0.45820596,c0
551,-0.20160062,-0.79919005,0.65494976,c6
552,0.10090524,-0.23239851,-0.66311300,c4
553,0.26683817,-0.71731541,-0.95570773,c0
554,-0.89341278,0.56602892,-0.23437152,c0
555,-0.30080471,-0.48005181,0.22780003,c1
556,-0.30624922,0.98469097,-0.79366656,c5
557,0.10491975,0.01785967,0.34532366,c4
558,-0.74113116,-0.87109240,-0.60660404,c6
559,-0.95417129,0.49996413,-0.73806650,c4
560,-0.86445187,0.72423805,0.81182046,c3
561,-0.68811125,0.09324901,-0.22504913,c5
562,0.58281041,0.96413706,0.71675298,c2
563,0.22199713,0.23830040,-0.55402067,c0
564,0.39837372,-0.51738886,-0.22198761,c5
565,0.54976300,0.72445928,-0.94206412,c0
566,0.15693365,0.45187479,-0.65037833,c1
567,-0.92571131,0.84997776,-0.30291771,c4
568,-0.92655542,-0.19499323,-0.63566086,c0
569,0.75595094,-0.29282469,0.46005627,c2
