id,x,y,z,group,timestamp_s
60,-440,-1313,1,g0,1700003600
61,-439,-1310,2,g1,1700003660
62,-438,-1307,3,g2,1700003720
63,-437,-1304,4,g3,1700003780
64,-436,-1301,5,g0,1700003840
65,-435,-1298,6,g1,1700003900
66,-434,-1295,7,g2,1700003960
67,-433,-1292,8,g3,1700004020
68,-432,-1289,-8,g0,1700004080
69,-431,-1286,-7,g1,1700004140
70,-430,-1283,-6,g2,1700004200
71,-429,-1280,-5,g3,1700004260
72,-428,-1277,-4,g0,1700004320
73,-427,-1274,-3,g1,1700004380
74,-426,-1271,-2,g2,1700004440
75,-425,-1268,-1,g3,1700004500
76,-424,-1265,0,g0,1700004560
77,-423,-1262,1,g1,1700004620
78,-422,-1259,2,g2,1700004680
79,-421,-1256,3,g3,1700004740
80,-420,-1253,4,g0,1700004800
81,-419,-1250,5,g1,1700004860
82,-418,-1247,6,g2,1700004920
83,-417,-1244,7,g3,1700004980
84,-416,-1241,8,g0,1700005040
85,-415,-1238,-8,g1,1700005100
86,-414,-1235,-7,g2,1700005160
87,-413,-1232,-6,g3,1700005220
88,-412,-1229,-5,g0,1700005280
89,-411,-1226,-4,g1,1700005340
90,-410,-1223,-3,g2,1700005400
91,-409,-1220,-2,g3,1700005460
92,-408,-1217,-1,g0,1700005520
93,-407,-1214,0,g1,1700005580
94,-406,-1211,1,g2,1700005640
95,-405,-1208,2,g3,1700005700
96,-404,-1205,3,g0,1700005760
97,-403,-1202,4,g1,1700005820
98,-402,-1199,5,g2,1700005880
99,-401,-1196,6,g3,1700005940
100,-400,-1193,7,g0,1700006000
101,-399,-1190,8,g1,1700006060
102,-398,-1187,-8,g2,1700006120
103,-397,-1184,-7,g3,1700006180
104,-396,-1181,-6,g0,1700006240
105,-395,-1178,-5,g1,1700006300
106,-394,-1175,-4,g2,1700006360
107,-393,-1172,-3,g3,1700006420
108,-392,-1169,-2,g0,1700006480
109,-391,-1166,-1,g1,1700006540
110,-390,-1163,0,g2,1700006600
111,-389,-1160,1,g3,1700006660
112,-388,-1157,2,g0,1700006720
113,-387,-1154,3,g1,1700006780
114,-386,-1151,4,g2,1700006840
115,-385,-1148,5,g3,1700006900
116,-384,-1145,6,g0,1700006960
117,-383,-1142,7,g1,1700007020
118,-382,-1139,8,g2,1700007080
119,-381,-1136,-8,g3,1700007140
120,-380,-1133,-7,g0,1700007200
121,-379,-1130,-6,g1,1700007260
122,-378,-1127,-5,g2,1700007320
123,-377,-1124,-4,g3,1700007380
124,-376,-1121,-3,g0,1700007440
125,-375,-1118,-2,g1,1700007500
126,-374,-1115,-1,g2,1700007560
127,-373,-1112,0,g3,1700007620
128,-372,-1109,1,g0,1700007680
129,-371,-1106,2,g1,1700007740
130,-370,-1103,3,g2,1700007800
131,-369,-1100,4,g3,1700007860
132,-368,-1097,5,g0,1700007920
133,-367,-1094,6,g1,1700007980
134,-366,-1091,7,g2,1700008040
135,-365,-1088,8,g3,1700008100
136,-364,-1085,-8,g0,1700008160
137,-363,-1082,-7,g1,1700008220
138,-362,-1079,-6,g2,1700008280
139,-361,-1076,-5,g3,1700008340
140,-360,-1073,-4,g0,1700008400
141,-359,-1070,-3,g1,1700008460
142,-358,-1067,-2,g2,1700008520
143,-357,-1064,-1,g3,1700008580
144,-356,-1061,0,g0,1700008640
145,-355,-1058,1,g1,1700008700
146,-354,-1055,2,g2,1700008760
147,-353,-1052,3,g3,1700008820
148,-352,-1049,4,g0,1700008880
149,-351,-1046,5,g1,1700008940
150,-350,-1043,6,g2,1700009000
151,-349,-1040,7,g3,1700009060
152,-348,-1037,8,g0,1700009120
153,-347,-1034,-8,g1,1700009180
154,-346,-1031,-7,g2,1700009240
155,-345,-1028,-6,g3,1700009300
156,-344,-1025,-5,g0,1700009360
157,-343,-1022,-4,g1,1700009420
158,-342,-1019,-3,g2,1700009480
159,-341,-1016,-2,g3,1700009540
160,-340,-1013,-1,g0,1700009600
161,-339,-1010,0,g1,1700009660
162,-338,-1007,1,g2,1700009720
163,-337,-1004,2,g3,1700009780
164,-336,-1001,3,g0,1700009840
165,-335,-998,4,g1,1700009900
166,-334,-995,5,g2,1700009960
167,-333,-992,6,g3,1700010020
168,-332,-989,7,g0,1700010080
169,-331,-986,8,g1,1700010140
170,-330,-983,-8,g2,1700010200
171,-329,-980,-7,g3,1700010260
172,-328,-977,-6,g0,1700010320
173,-327,-974,-5,g1,1700010380
174,-326,-971,-4,g2,1700010440
175,-325,-968,-3,g3,1700010500
176,-324,-965,-2,g0,1700010560
177,-323,-962,-1,g1,1700010620
178,-322,-959,0,g2,1700010680
179,-321,-956,1,g3,1700010740
180,-320,-953,2,g0,1700010800
181,-319,-950,3,g1,1700010860
182,-318,-947,4,g2,1700010920
183,-317,-944,5,g3,1700010980
184,-316,-941,6,g0,1700011040
185,-315,-938,7,g1,1700011100
186,-314,-935,8,g2,1700011160
187,-313,-932,-8,g3,1700011220
188,-312,-929,-7,g0,1700011280
189,-311,-926,-6,g1,1700011340
190,-310,-923,-5,g2,1700011400
191,-309,-920,-4,g3,1700011460
192,-308,-917,-3,g0,1700011520
193,-307,-914,-2,g1,1700011580
194,-306,-911,-1,g2,1700011640
195,-305,-908,0,g3,1700011700
196,-304,-905,1,g0,1700011760
197,-303,-902,2,g1,1700011820
198,-302,-899,3,g2,1700011880
199,-301,-896,4,g3,1700011940
200,-300,-893,5,g0,1700012000
201,-299,-890,6,g1,1700012060
202,-298,-887,7,g2,1700012120
203,-297,-884,8,g3,1700012180
204,-296,-881,-8,g0,1700012240
205,-295,-878,-7,g1,1700012300
206,-294,-875,-6,g2,1700012360
207,-293,-872,-5,g3,1700012420
208,-292,-869,-4,g0,1700012480
209,-291,-866,-3,g1,1700012540
210,-290,-863,-2,g2,1700012600
211,-289,-860,-1,g3,1700012660
212,-288,-857,0,g0,1700012720
213,-287,-854,1,g1,1700012780
214,-286,-851,2,g2,1700012840
215,-285,-848,3,g3,1700012900
216,-284,-845,4,g0,1700012960
217,-283,-842,5,g1,1700013020
218,-282,-839,6,g2,1700013080
219,-281,-836,7,g3,1700013140
220,-280,-833,8,g0,1700013200
221,-279,-830,-8,g1,1700013260
222,-278,-827,-7,g2,1700013320
223,-277,-824,-6,g3,1700013380
224,-276,-821,-5,g0,1700013440
225,-275,-818,-4,g1,1700013500
226,-274,-815,-3,g2,1700013560
227,-273,-812,-2,g3,1700013620
228,-272,-809,-1,g0,1700013680
229,-271,-806,0,g1,1700013740
230,-270,-803,1,g2,1700013800
231,-269,-800,2,g3,1700013860
232,-268,-797,3,g0,1700013920
233,-267,-794,4,g1,1700013980
234,-266,-791,5,g2,1700014040
235,-265,-788,6,g3,1700014100
236,-264,-785,7,g0,1700014160
237,-263,-782,8,g1,1700014220
238,-262,-779,-8,g2,1700014280
239,-261,-776,-7,g3,1700014340
240,-260,-773,-6,g0,1700014400
241,-259,-770,-5,g1,1700014460
242,-258,-767,-4,g2,1700014520
243,-257,-764,-3,g3,1700014580
244,-256,-761,-2,g0,1700014640
245,-255,-758,-1,g1,1700014700
246,-254,-755,0,g2,1700014760
247,-253,-752,1,g3,1700014820
248,-252,-749,2,g0,1700014880
249,-251,-746,3,g1,1700014940
250,-250,-743,4,g2,1700015000
251,-249,-740,5,g3,1700015060
252,-248,-737,6,g0,1700015120
253,-247,-734,7,g1,1700015180
254,-246,-731,8,g2,1700015240
255,-245,-728,-8,g3,1700015300
256,-244,-725,-7,g0,1700015360
257,-243,-722,-6,g1,1700015420
258,-242,-719,-5,g2,1700015480
259,-241,-716,-4,g3,1700015540
260,-240,-713,-3,g0,1700015600
261,-239,-710,-2,g1,1700015660
262,-238,-707,-1,g2,1700015720
263,-237,-704,0,g3,1700015780
264,-236,-701,1,g0,1700015840
265,-235,-698,2,g1,1700015900
266,-234,-695,3,g2,1700015960
267,-233,-692,4,g3,1700016020
268,-232,-689,5,g0,1700016080
269,-231,-686,6,g1,1700016140
270,-230,-683,7,g2,1700016200
271,-229,-680,8,g3,1700016260
272,-228,-677,-8,g0,1700016320
273,-227,-674,-7,g1,1700016380
274,-226,-671,-6,g2,1700016440
275,-225,-668,-5,g3,1700016500
276,-224,-665,-4,g0,1700016560
277,-223,-662,-3,g1,1700016620
278,-222,-659,-2,g2,1700016680
279,-221,-656,-1,g3,1700016740
280,-220,-653,0,g0,1700016800
281,-219,-650,1,g1,1700016860
282,-218,-647,2,g2,1700016920
283,-217,-644,3,g3,1700016980
284,-216,-641,4,g0,1700017040
285,-215,-638,5,g1,1700017100
286,-214,-635,6,g2,1700017160
287,-213,-632,7,g3,1700017220
288,-212,-629,8,g0,1700017280
289,-211,-626,-8,g1,1700017340
290,-210,-623,-7,g2,1700017400
291,-209,-620,-6,g3,1700017460
292,-208,-617,-5,g0,1700017520
293,-207,-614,-4,g1,1700017580
294,-206,-611,-3,g2,1700017640
295,-205,-608,-2,g3,1700017700
296,-204,-605,-1,g0,1700017760
297,-203,-602,0,g1,1700017820
298,-202,-599,1,g2,1700017880
299,-201,-596,2,g3,1700017940
300,-200,-593,3,g0,1700018000
301,-199,-590,4,g1,1700018060
302,-198,-587,5,g2,1700018120
303,-197,-584,6,g3,1700018180
304,-196,-581,7,g0,1700018240
305,-195,-578,8,g1,1700018300
306,-194,-575,-8,g2,1700018360
307,-193,-572,-7,g3,1700018420
308,-192,-569,-6,g0,1700018480
309,-191,-566,-5,g1,1700018540
310,-190,-563,-4,g2,1700018600
311,-189,-560,-3,g3,1700018660
312,-188,-557,-2,g0,1700018720
313,-187,-554,-1,g1,1700018780
314,-186,-551,0,g2,1700018840
315,-185,-548,1,g3,1700018900
316,-184,-545,2,g0,1700018960
317,-183,-542,3,g1,1700019020
318,-182,-539,4,g2,1700019080
319,-181,-536,5,g3,1700019140
320,-180,-533,6,g0,1700019200
321,-179,-530,7,g1,1700019260
322,-178,-527,8,g2,1700019320
323,-177,-524,-8,g3,1700019380
324,-176,-521,-7,g0,1700019440
325,-175,-518,-6,g1,1700019500
326,-174,-515,-5,g2,1700019560
327,-173,-512,-4,g3,1700019620
328,-172,-509,-3,g0,1700019680
329,-171,-506,-2,g1,1700019740
330,-170,-503,-1,g2,1700019800
331,-169,-500,0,g3,1700019860
332,-168,-497,1,g0,1700019920
333,-167,-494,2,g1,1700019980
334,-166,-491,3,g2,1700020040
335,-165,-488,4,g3,1700020100
336,-164,-485,5,g0,1700020160
337,-163,-482,6,g1,1700020220
338,-162,-479,7,g2,1700020280
339,-161,-476,8,g3,1700020340
340,-160,-473,-8,g0,1700020400
341,-159,-470,-7,g1,1700020460
342,-158,-467,-6,g2,1700020520
343,-157,-464,-5,g3,1700020580
344,-156,-461,-4,g0,1700020640
345,-155,-458,-3,g1,1700020700
346,-154,-455,-2,g2,1700020760
347,-153,-452,-1,g3,1700020820
348,-152,-449,0,g0,1700020880
349,-151,-446,1,g1,1700020940
350,-150,-443,2,g2,1700021000
351,-149,-440,3,g3,1700021060
352,-148,-437,4,g0,1700021120
353,-147,-434,5,g1,1700021180
354,-146,-431,6,g2,1700021240
355,-145,-428,7,g3,1700021300
356,-144,-425,8,g0,1700021360
357,-143,-422,-8,g1,1700021420
358,-142,-419,-7,g2,1700021480
359,-141,-416,-6,g3,1700021540
360,-140,-413,-5,g0,1700021600
361,-139,-410,-4,g1,1700021660
362,-138,-407,-3,g2,1700021720
363,-137,-404,-2,g3,1700021780
364,-136,-401,-1,g0,1700021840
365,-135,-398,0,g1,1700021900
366,-134,-395,1,g2,1700021960
367,-133,-392,2,g3,1700022020
368,-132,-389,3,g0,1700022080
369,-131,-386,4,g1,1700022140
370,-130,-383,5,g2,1700022200
371,-129,-380,6,g3,1700022260
372,-128,-377,7,g0,1700022320
373,-127,-374,8,g1,1700022380
374,-126,-371,-8,g2,1700022440
375,-125,-368,-7,g3,1700022500
376,-124,-365,-6,g0,1700022560
377,-123,-362,-5,g1,1700022620
378,-122,-359,-4,g2,1700022680
379,-121,-356,-3,g3,1700022740
380,-120,-353,-2,g0,1700022800
381,-119,-350,-1,g1,1700022860
382,-118,-347,0,g2,1700022920
383,-117,-344,1,g3,1700022980
384,-116,-341,2,g0,1700023040
385,-115,-338,3,g1,1700023100
386,-114,-335,4,g2,1700023160
387,-113,-332,5,g3,1700023220
388,-112,-329,6,g0,1700023280
389,-111,-326,7,g1,1700023340
390,-110,-323,8,g2,1700023400
391,-109,-320,-8,g3,1700023460
392,-108,-317,-7,g0,1700023520
393,-107,-314,-6,g1,1700023580
394,-106,-311,-5,g2,1700023640
395,-105,-308,-4,g3,1700023700
396,-104,-305,-3,g0,1700023760
397,-103,-302,-2,g1,1700023820
398,-102,-299,-1,g2,1700023880
399,-101,-296,0,g3,1700023940
400,-100,-293,1,g0,1700024000
401,-99,-290,2,g1,1700024060
402,-98,-287,3,g2,1700024120
403,-97,-284,4,g3,1700024180
404,-96,-281,5,g0,1700024240
405,-95,-278,6,g1,1700024300
406,-94,-275,7,g2,1700024360
407,-93,-272,8,g3,1700024420
408,-92,-269,-8,g0,1700024480
409,-91,-266,-7,g1,1700024540
410,-90,-263,-6,g2,1700024600
411,-89,-260,-5,g3,1700024660
412,-88,-257,-4,g0,1700024720
413,-87,-254,-3,g1,1700024780
414,-86,-251,-2,g2,1700024840
415,-85,-248,-1,g3,1700024900
416,-84,-245,0,g0,1700024960
417,-83,-242,1,g1,1700025020
418,-82,-239,2,g2,1700025080
419,-81,-236,3,g3,1700025140
420,-80,-233,4,g0,1700025200
421,-79,-230,5,g1,1700025260
422,-78,-227,6,g2,1700025320
423,-77,-224,7,g3,1700025380
424,-76,-221,8,g0,1700025440
425,-75,-218,-8,g1,1700025500
426,-74,-215,-7,g2,1700025560
427,-73,-212,-6,g3,1700025620
428,-72,-209,-5,g0,1700025680
429,-71,-206,-4,g1,1700025740
430,-70,-203,-3,g2,1700025800
431,-69,-200,-2,g3,1700025860
432,-68,-197,-1,g0,1700025920
433,-67,-194,0,g1,1700025980
434,-66,-191,1,g2,1700026040
435,-65,-188,2,g3,1700026100
436,-64,-185,3,g0,1700026160
437,-63,-182,4,g1,1700026220
438,-62,-179,5,g2,1700026280
439,-61,-176,6,g3,1700026340
440,-60,-173,7,g0,1700026400
441,-59,-170,8,g1,1700026460
442,-58,-167,-8,g2,1700026520
443,-57,-164,-7,g3,1700026580
444,-56,-161,-6,g0,1700026640
445,-55,-158,-5,g1,1700026700
446,-54,-155,-4,g2,1700026760
447,-53,-152,-3,g3,1700026820
448,-52,-149,-2,g0,1700026880
449,-51,-146,-1,g1,1700026940
450,-50,-143,0,g2,1700027000
451,-49,-140,1,g3,1700027060
452,-48,-137,2,g0,1700027120
453,-47,-134,3,g1,1700027180
454,-46,-131,4,g2,1700027240
455,-45,-128,5,g3,1700027300
456,-44,-125,6,g0,1700027360
457,-43,-122,7,g1,1700027420
458,-42,-119,8,g2,1700027480
459,-41,-116,-8,g3,1700027540
460,-40,-113,-7,g0,1700027600
461,-39,-110,-6,g1,1700027660
462,-38,-107,-5,g2,1700027720
463,-37,-104,-4,g3,1700027780
464,-36,-101,-3,g0,1700027840
465,-35,-98,-2,g1,1700027900
466,-34,-95,-1,g2,1700027960
467,-33,-92,0,g3,1700028020
468,-32,-89,1,g0,1700028080
469,-31,-86,2,g1,1700028140
470,-30,-83,3,g2,1700028200
471,-29,-80,4,g3,1700028260
472,-28,-77,5,g0,1700028320
473,-27,-74,6,g1,1700028380
474,-26,-71,7,g2,1700028440
475,-25,-68,8,g3,1700028500
476,-24,-65,-8,g0,1700028560
477,-23,-62,-7,g1,1700028620
478,-22,-59,-6,g2,1700028680
479,-21,-56,-5,g3,1700028740
480,-20,-53,-4,g0,1700028800
481,-19,-50,-3,g1,1700028860
482,-18,-47,-2,g2,1700028920
483,-17,-44,-1,g3,1700028980
484,-16,-41,0,g0,1700029040
485,-15,-38,1,g1,1700029100
486,-14,-35,2,g2,1700029160
487,-13,-32,3,g3,1700029220
488,-12,-29,4,g0,1700029280
489,-11,-26,5,g1,1700029340
490,-10,-23,6,g2,1700029400
491,-9,-20,7,g3,1700029460
492,-8,-17,8,g0,1700029520
493,-7,-14,-8,g1,1700029580
494,-6,-11,-7,g2,1700029640
495,-5,-8,-6,g3,1700029700
496,-4,-5,-5,g0,1700029760
497,-3,-2,-4,g1,1700029820
498,-2,1,-3,g2,1700029880
499,-1,4,-2,g3,1700029940
500,0,7,-1,g0,1700030000
501,1,10,0,g1,1700030060
502,2,13,1,g2,1700030120
503,3,16,2,g3,1700030180
504,4,19,3,g0,1700030240
505,5,22,4,g1,1700030300
506,6,25,5,g2,1700030360
507,7,28,6,g3,1700030420
508,8,31,7,g0,1700030480
509,9,34,8,g1,1700030540
510,10,37,-8,g2,1700030600
511,11,40,-7,g3,1700030660
512,12,43,-6,g0,1700030720
513,13,46,-5,g1,1700030780
514,14,49,-4,g2,1700030840
515,15,52,-3,g3,1700030900
516,16,55,-2,g0,1700030960
517,17,58,-1,g1,1700031020
518,18,61,0,g2,1700031080
519,19,64,1,g3,1700031140
520,20,67,2,g0,1700031200
521,21,70,3,g1,1700031260
522,22,73,4,g2,1700031320
523,23,76,5,g3,1700031380
524,24,79,6,g0,1700031440
525,25,82,7,g1,1700031500
526,26,85,8,g2,1700031560
527,27,88,-8,g3,1700031620
528,28,91,-7,g0,1700031680
529,29,94,-6,g1,1700031740
530,30,97,-5,g2,1700031800
531,31,100,-4,g3,1700031860
532,32,103,-3,g0,1700031920
533,33,106,-2,g1,1700031980
534,34,109,-1,g2,1700032040
535,35,112,0,g3,1700032100
536,36,115,1,g0,1700032160
537,37,118,2,g1,1700032220
538,38,121,3,g2,1700032280
539,39,124,4,g3,1700032340
540,40,127,5,g0,1700032400
541,41,130,6,g1,1700032460
542,42,133,7,g2,1700032520
543,43,136,8,g3,1700032580
544,44,139,-8,g0,1700032640
545,45,142,-7,g1,1700032700
546,46,145,-6,g2,1700032760
547,47,148,-5,g3,1700032820
548,48,151,-4,g0,1700032880
549,49,154,-3,g1,1700032940
550,50,157,-2,g2,1700033000
551,51,160,-1,g3,1700033060
552,52,163,0,g0,1700033120
553,53,166,1,g1,1700033180
554,54,169,2,g2,1700033240
555,55,172,3,g3,1700033300
556,56,175,4,g0,1700033360
557,57,178,5,g1,1700033420
558,58,181,6,g2,1700033480
559,59,184,7,g3,1700033540
560,60,187,8,g0,1700033600
561,61,190,-8,g1,1700033660
562,62,193,-7,g2,1700033720
563,63,196,-6,g3,1700033780
564,64,199,-5,g0,1700033840
565,65,202,-4,g1,1700033900
566,66,205,-3,g2,1700033960
567,67,208,-2,g3,1700034020
568,68,211,-1,g0,1700034080
569,69,214,0,g1,1700034140
570,70,217,1,g2,1700034200
571,71,220,2,g3,1700034260
572,72,223,3,g0,1700034320
573,73,226,4,g1,1700034380
574,74,229,5,g2,1700034440
575,75,232,6,g3,1700034500
576,76,235,7,g0,1700034560
577,77,238,8,g1,1700034620
578,78,241,-8,g2,1700034680
579,79,244,-7,g3,1700034740
580,80,247,-6,g0,1700034800
581,81,250,-5,g1,1700034860
582,82,253,-4,g2,1700034920
583,83,256,-3,g3,1700034980
584,84,259,-2,g0,1700035040
585,85,262,-1,g1,1700035100
586,86,265,0,g2,1700035160
587,87,268,1,g3,1700035220
588,88,271,2,g0,1700035280
589,89,274,3,g1,1700035340
590,90,277,4,g2,1700035400
591,91,280,5,g3,1700035460
592,92,283,6,g0,1700035520
593,93,286,7,g1,1700035580
594,94,289,8,g2,1700035640
595,95,292,-8,g3,1700035700
596,96,295,-7,g0,1700035760
597,97,298,-6,g1,1700035820
598,98,301,-5,g2,1700035880
599,99,304,-4,g3,1700035940
600,100,307,-3,g0,1700036000
601,101,310,-2,g1,1700036060
602,102,313,-1,g2,1700036120
603,103,316,0,g3,1700036180
604,104,319,1,g0,1700036240
605,105,322,2,g1,1700036300
606,106,325,3,g2,1700036360
607,107,328,4,g3,1700036420
608,108,331,5,g0,1700036480
609,109,334,6,g1,1700036540
610,110,337,7,g2,1700036600
611,111,340,8,g3,1700036660
612,112,343,-8,g0,1700036720
613,113,346,-7,g1,1700036780
614,114,349,-6,g2,1700036840
615,115,352,-5,g3,1700036900
616,116,355,-4,g0,1700036960
617,117,358,-3,g1,1700037020
618,118,361,-2,g2,1700037080
619,119,364,-1,g3,1700037140
620,120,367,0,g0,1700037200
621,121,370,1,g1,1700037260
622,122,373,2,g2,1700037320
623,123,376,3,g3,1700037380
624,124,379,4,g0,1700037440
625,125,382,5,g1,1700037500
626,126,385,6,g2,1700037560
627,127,388,7,g3,1700037620
628,128,391,8,g0,1700037680
629,129,394,-8,g1,1700037740
630,130,397,-7,g2,1700037800
631,131,400,-6,g3,1700037860
632,132,403,-5,g0,1700037920
633,133,406,-4,g1,1700037980
634,134,409,-3,g2,1700038040
635,135,412,-2,g3,1700038100
636,136,415,-1,g0,1700038160
637,137,418,0,g1,1700038220
638,138,421,1,g2,1700038280
639,139,424,2,g3,1700038340
640,140,427,3,g0,1700038400
641,141,430,4,g1,1700038460
642,142,433,5,g2,1700038520
643,143,436,6,g3,1700038580
644,144,439,7,g0,1700038640
645,145,442,8,g1,1700038700
646,146,445,-8,g2,1700038760
647,147,448,-7,g3,1700038820
648,148,451,-6,g0,1700038880
649,149,454,-5,g1,1700038940
650,150,457,-4,g2,1700039000
651,151,460,-3,g3,1700039060
652,152,463,-2,g0,1700039120
653,153,466,-1,g1,1700039180
654,154,469,0,g2,1700039240
655,155,472,1,g3,1700039300
656,156,475,2,g0,1700039360
657,157,478,3,g1,1700039420
658,158,481,4,g2,1700039480
659,159,484,5,g3,1700039540
660,160,487,6,g0,1700039600
661,161,490,7,g1,1700039660
662,162,493,8,g2,1700039720
663,163,496,-8,g3,1700039780
664,164,499,-7,g0,1700039840
665,165,502,-6,g1,1700039900
666,166,505,-5,g2,1700039960
667,167,508,-4,g3,1700040020
668,168,511,-3,g0,1700040080
669,169,514,-2,g1,1700040140
670,170,517,-1,g2,1700040200
671,171,520,0,g3,1700040260
672,172,523,1,g0,1700040320
673,173,526,2,g1,1700040380
674,174,529,3,g2,1700040440
675,175,532,4,g3,1700040500
676,176,535,5,g0,1700040560
677,177,538,6,g1,1700040620
678,178,541,7,g2,1700040680
679,179,544,8,g3,1700040740
680,180,547,-8,g0,1700040800
681,181,550,-7,g1,1700040860
682,182,553,-6,g2,1700040920
683,183,556,-5,g3,1700040980
684,184,559,-4,g0,1700041040
685,185,562,-3,g1,1700041100
686,186,565,-2,g2,1700041160
687,187,568,-1,g3,1700041220
688,188,571,0,g0,1700041280
689,189,574,1,g1,1700041340
690,190,577,2,g2,1700041400
691,191,580,3,g3,1700041460
692,192,583,4,g0,1700041520
693,193,586,5,g1,1700041580
694,194,589,6,g2,1700041640
695,195,592,7,g3,1700041700
696,196,595,8,g0,1700041760
697,197,598,-8,g1,1700041820
698,198,601,-7,g2,1700041880
699,199,604,-6,g3,1700041940
700,200,607,-5,g0,1700042000
701,201,610,-4,g1,1700042060
702,202,613,-3,g2,1700042120
703,203,616,-2,g3,1700042180
704,204,619,-1,g0,1700042240
705,205,622,0,g1,1700042300
706,206,625,1,g2,1700042360
707,207,628,2,g3,1700042420
708,208,631,3,g0,1700042480
709,209,634,4,g1,1700042540
710,210,637,5,g2,1700042600
711,211,640,6,g3,1700042660
712,212,643,7,g0,1700042720
713,213,646,8,g1,1700042780
714,214,649,-8,g2,1700042840
715,215,652,-7,g3,1700042900
716,216,655,-6,g0,1700042960
717,217,658,-5,g1,1700043020
718,218,661,-4,g2,1700043080
719,219,664,-3,g3,1700043140
720,220,667,-2,g0,1700043200
721,221,670,-1,g1,1700043260
722,222,673,0,g2,1700043320
723,223,676,1,g3,1700043380
724,224,679,2,g0,1700043440
725,225,682,3,g1,1700043500
726,226,685,4,g2,1700043560
727,227,688,5,g3,1700043620
728,228,691,6,g0,1700043680
729,229,694,7,g1,1700043740
730,230,697,8,g2,1700043800
731,231,700,-8,g3,1700043860
732,232,703,-7,g0,1700043920
733,233,706,-6,g1,1700043980
734,234,709,-5,g2,1700044040
735,235,712,-4,g3,1700044100
736,236,715,-3,g0,1700044160
737,237,718,-2,g1,1700044220
738,238,721,-1,g2,1700044280
739,239,724,0,g3,1700044340
740,240,727,1,g0,1700044400
741,241,730,2,g1,1700044460
742,242,733,3,g2,1700044520
743,243,736,4,g3,1700044580
744,244,739,5,g0,1700044640
745,245,742,6,g1,1700044700
746,246,745,7,g2,1700044760
747,247,748,8,g3,1700044820
748,248,751,-8,g0,1700044880
749,249,754,-7,g1,1700044940
750,250,757,-6,g2,1700045000
751,251,760,-5,g3,1700045060
752,252,763,-4,g0,1700045120
753,253,766,-3,g1,1700045180
754,254,769,-2,g2,1700045240
755,255,772,-1,g3,1700045300
756,256,775,0,g0,1700045360
757,257,778,1,g1,1700045420
758,258,781,2,g2,1700045480
759,259,784,3,g3,1700045540
760,260,787,4,g0,1700045600
761,261,790,5,g1,1700045660
762,262,793,6,g2,1700045720
763,263,796,7,g3,1700045780
764,264,799,8,g0,1700045840
765,265,802,-8,g1,1700045900
766,266,805,-7,g2,1700045960
767,267,808,-6,g3,1700046020
768,268,811,-5,g0,1700046080
769,269,814,-4,g1,1700046140
770,270,817,-3,g2,1700046200
771,271,820,-2,g3,1700046260
772,272,823,-1,g0,1700046320
773,273,826,0,g1,1700046380
774,274,829,1,g2,1700046440
775,275,832,2,g3,1700046500
776,276,835,3,g0,1700046560
