id,cohort,base,mcar_value,mar_value,structural_value
278,3,67,6.7,81,116
279,4,68,6.8,88,
280,0,69,6.9,95,142
281,1,70,7.0,5,4
282,2,71,7.1,12,17
283,3,72,7.2,19,30
284,4,73,7.3,26,
285,0,74,7.4,33,56
286,1,75,,40,69
287,2,76,7.6,47,82
288,3,77,7.7,,95
289,4,78,7.8,61,
290,0,79,7.9,68,121
291,1,80,8.0,75,134
292,2,81,8.1,82,147
293,3,82,8.2,89,9
294,4,83,8.3,96,
295,0,84,8.4,6,35
296,1,85,8.5,13,48
297,2,86,,20,61
298,3,87,8.7,27,74
299,4,88,8.8,34,
300,0,89,8.9,41,100
301,1,90,9.0,48,113
302,2,91,9.1,55,126
303,3,92,9.2,,139
304,4,93,9.3,69,
305,0,94,9.4,76,14
306,1,95,9.5,83,27
307,2,96,9.6,90,40
308,3,97,,0,53
309,4,98,9.8,7,
310,0,99,9.9,14,79
311,1,100,10.0,21,92
312,2,101,10.1,28,105
313,3,102,10.2,35,118
314,4,103,10.3,42,
315,0,104,10.4,49,144
316,1,105,10.5,56,6
317,2,106,10.6,63,19
318,3,107,10.7,,32
319,4,108,,77,
320,0,109,10.9,84,58
321,1,110,11.0,91,71
322,2,111,11.1,1,84
323,3,112,11.2,8,97
324,4,113,11.3,15,
325,0,114,11.4,22,123
326,1,115,11.5,29,136
327,2,116,11.6,36,149
328,3,117,11.7,43,11
329,4,118,11.8,50,
330,0,119,,57,37
331,1,120,12.0,64,50
332,2,121,12.1,71,63
333,3,122,12.2,,76
334,4,123,12.3,85,
335,0,124,12.4,92,102
336,1,125,12.5,2,115
337,2,126,12.6,9,128
338,3,127,12.7,16,141
339,4,128,12.8,23,
340,0,129,12.9,30,16
341,1,130,,37,29
342,2,131,13.1,44,42
343,3,132,13.2,51,55
344,4,133,13.3,58,
345,0,134,13.4,65,81
346,1,135,13.5,72,94
347,2,136,13.6,79,107
348,3,137,13.7,,120
349,4,138,13.8,93,
350,0,139,13.9,3,146
351,1,140,14.0,10,8
352,2,141,,17,21
353,3,142,14.2,24,34
354,4,143,14.3,31,
355,0,144,14.4,38,60
356,1,145,14.5,45,73
357,2,146,14.6,52,86
358,3,147,14.7,59,99
359,4,148,14.8,66,
360,0,149,14.9,73,125
361,1,150,15.0,80,138
362,2,151,15.1,87,0
363,3,152,,,13
364,4,153,15.3,4,
365,0,154,15.4,11,39
366,1,155,15.5,18,52
367,2,156,15.6,25,65
368,3,157,15.7,32,78
369,4,158,15.8,39,
370,0,159,15.9,46,104
371,1,160,16.0,53,117
372,2,161,16.1,60,130
373,3,162,16.2,67,143
374,4,163,,74,
375,0,164,16.4,81,18
376,1,165,16.5,88,31
377,2,166,16.6,95,44
378,3,167,16.7,,57
379,4,168,16.8,12,
380,0,169,16.9,19,83
381,1,170,17.0,26,96
382,2,171,17.1,33,109
383,3,172,17.2,40,122
384,4,173,17.3,47,
385,0,174,,54,148
386,1,175,17.5,61,10
387,2,176,17.6,68,23
388,3,177,17.7,75,36
389,4,178,17.8,82,
390,0,179,17.9,89,62
391,1,180,18.0,96,75
392,2,181,18.1,6,88
393,3,182,18.2,,101
394,4,183,18.3,20,
395,0,184,18.4,27,127
396,1,185,,34,140
397,2,186,18.6,41,2
398,3,187,18.7,48,15
399,4,188,18.8,55,
400,0,189,18.9,62,41
401,1,190,19.0,69,54
402,2,191,19.1,76,67
403,3,192,19.2,83,80
404,4,193,19.3,90,
405,0,194,19.4,0,106
406,1,195,19.5,7,119
407,2,196,,14,132
408,3,197,19.7,,145
409,4,198,19.8,28,
410,0,199,19.9,35,20
411,1,200,20.0,42,33
412,2,201,20.1,49,46
413,3,202,20.2,56,59
414,4,203,20.3,63,
415,0,204,20.4,70,85
416,1,205,20.5,77,98
417,2,206,20.6,84,111
418,3,207,,91,124
419,4,208,20.8,1,
420,0,209,20.9,8,150
421,1,210,21.0,15,12
422,2,0,0.0,0,0
423,3,1,0.1,,13
424,4,2,0.2,14,
425,0,3,0.3,21,39
426,1,4,0.4,28,52
427,2,5,0.5,35,65
428,3,6,0.6,42,78
429,4,7,,49,
430,0,8,0.8,56,104
431,1,9,0.9,63,117
432,2,10,1.0,70,130
433,3,11,1.1,77,143
434,4,12,1.2,84,
435,0,13,1.3,91,18
436,1,14,1.4,1,31
437,2,15,1.5,8,44
438,3,16,1.6,,57
439,4,17,1.7,22,
440,0,18,,29,83
441,1,19,1.9,36,96
442,2,20,2.0,43,109
443,3,21,2.1,50,122
444,4,22,2.2,57,
445,0,23,2.3,64,148
446,1,24,2.4,71,10
447,2,25,2.5,78,23
448,3,26,2.6,85,36
449,4,27,2.7,92,
450,0,28,2.8,2,62
451,1,29,,9,75
452,2,30,3.0,16,88
453,3,31,3.1,,101
454,4,32,3.2,30,
455,0,33,3.3,37,127
456,1,34,3.4,44,140
457,2,35,3.5,51,2
458,3,36,3.6,58,15
459,4,37,3.7,65,
460,0,38,3.8,72,41
461,1,39,3.9,79,54
462,2,40,,86,67
463,3,41,4.1,93,80
464,4,42,4.2,3,
465,0,43,4.3,10,106
466,1,44,4.4,17,119
467,2,45,4.5,24,132
468,3,46,4.6,,145
469,4,47,4.7,38,
470,0,48,4.8,45,20
471,1,49,4.9,52,33
472,2,50,5.0,59,46
473,3,51,,66,59
474,4,52,5.2,73,
475,0,53,5.3,80,85
476,1,54,5.4,87,98
477,2,55,5.5,94,111
478,3,56,5.6,4,124
479,4,57,5.7,11,
480,0,58,5.8,18,150
481,1,59,5.9,25,12
482,2,60,6.0,32,25
483,3,61,6.1,,38
484,4,62,,46,
485,0,63,6.3,53,64
486,1,64,6.4,60,77
487,2,65,6.5,67,90
488,3,66,6.6,74,103
489,4,67,6.7,81,
490,0,68,6.8,88,129
491,1,69,6.9,95,142
492,2,70,7.0,5,4
493,3,71,7.1,12,17
494,4,72,7.2,19,
495,0,73,,26,43
496,1,74,7.4,33,56
497,2,75,7.5,40,69
498,3,76,7.6,,82
499,4,77,7.7,54,
500,0,78,7.8,61,108
501,1,79,7.9,68,121
502,2,80,8.0,75,134
503,3,81,8.1,82,147
504,4,82,8.2,89,
505,0,83,8.3,96,22
506,1,84,,6,35
507,2,85,8.5,13,48
508,3,86,8.6,20,61
509,4,87,8.7,27,
510,0,88,8.8,34,87
511,1,89,8.9,41,100
512,2,90,9.0,48,113
513,3,91,9.1,,126
514,4,92,9.2,62,
515,0,93,9.3,69,1
516,1,94,9.4,76,14
517,2,95,,83,27
518,3,96,9.6,90,40
519,4,97,9.7,0,
520,0,98,9.8,7,66
521,1,99,9.9,14,79
522,2,100,10.0,21,92
523,3,101,10.1,28,105
524,4,102,10.2,35,
525,0,103,10.3,42,131
526,1,104,10.4,49,144
527,2,105,10.5,56,6
528,3,106,,,19
529,4,107,10.7,70,
530,0,108,10.8,77,45
531,1,109,10.9,84,58
532,2,110,11.0,91,71
533,3,111,11.1,1,84
534,4,112,11.2,8,
535,0,113,11.3,15,110
536,1,114,11.4,22,123
537,2,115,11.5,29,136
538,3,116,11.6,36,149
539,4,117,,43,
540,0,118,11.8,50,24
541,1,119,11.9,57,37
542,2,120,12.0,64,50
543,3,121,12.1,,63
544,4,122,12.2,78,
545,0,123,12.3,85,89
546,1,124,12.4,92,102
547,2,125,12.5,2,115
548,3,126,12.6,9,128
549,4,127,12.7,16,
550,0,128,,23,3
551,1,129,12.9,30,16
552,2,130,13.0,37,29
553,3,131,13.1,44,42
554,4,132,13.2,51,
555,0,133,13.3,58,68
556,1,134,13.4,65,81
557,2,135,13.5,72,94
558,3,136,13.6,,107
559,4,137,13.7,86,
560,0,138,13.8,93,133
561,1,139,,3,146
562,2,140,14.0,10,8
563,3,141,14.1,17,21
564,4,142,14.2,24,
565,0,143,14.3,31,47
566,1,144,14.4,38,60
567,2,145,14.5,45,73
568,3,146,14.6,52,86
569,4,147,14.7,59,
570,0,148,14.8,66,112
571,1,149,14.9,73,125
572,2,150,,80,138
573,3,151,15.1,,0
574,4,152,15.2,94,
575,0,153,15.3,4,26
576,1,154,15.4,11,39
577,2,155,15.5,18,52
578,3,156,15.6,25,65
579,4,157,15.7,32,
580,0,158,15.8,39,91
581,1,159,15.9,46,104
582,2,160,16.0,53,117
583,3,161,,60,130
584,4,162,16.2,67,
585,0,163,16.3,74,5
586,1,164,16.4,81,18
587,2,165,16.5,88,31
588,3,166,16.6,,44
589,4,167,16.7,5,
590,0,168,16.8,12,70
591,1,169,16.9,19,83
592,2,170,17.0,26,96
593,3,171,17.1,33,109
594,4,172,,40,
595,0,173,17.3,47,135
596,1,174,17.4,54,148
597,2,175,17.5,61,10
598,3,176,17.6,68,23
599,4,177,17.7,75,
600,0,178,17.8,82,49
601,1,179,17.9,89,62
602,2,180,18.0,96,75
603,3,181,18.1,,88
604,4,182,18.2,13,
605,0,183,,20,114
606,1,184,18.4,27,127
607,2,185,18.5,34,140
608,3,186,18.6,41,2
609,4,187,18.7,48,
610,0,188,18.8,55,28
611,1,189,18.9,62,41
612,2,190,19.0,69,54
613,3,191,19.1,76,67
614,4,192,19.2,83,
615,0,193,19.3,90,93
616,1,194,,0,106
617,2,195,19.5,7,119
618,3,196,19.6,,132
619,4,197,19.7,21,
620,0,198,19.8,28,7
621,1,199,19.9,35,20
622,2,200,20.0,42,33
623,3,201,20.1,49,46
624,4,202,20.2,56,
625,0,203,20.3,63,72
626,1,204,20.4,70,85
627,2,205,,77,98
628,3,206,20.6,84,111
629,4,207,20.7,91,
630,0,208,20.8,1,137
631,1,209,20.9,8,150
632,2,210,21.0,15,12
633,3,0,0.0,,0
634,4,1,0.1,7,
635,0,2,0.2,14,26
636,1,3,0.3,21,39
637,2,4,0.4,28,52
638,3,5,,35,65
639,4,6,0.6,42,
640,0,7,0.7,49,91
641,1,8,0.8,56,104
642,2,9,0.9,63,117
643,3,10,1.0,70,130
644,4,11,1.1,77,
645,0,12,1.2,84,5
646,1,13,1.3,91,18
647,2,14,1.4,1,31
648,3,15,1.5,,44
649,4,16,,15,
650,0,17,1.7,22,70
651,1,18,1.8,29,83
652,2,19,1.9,36,96
653,3,20,2.0,43,109
654,4,21,2.1,50,
655,0,22,2.2,57,135
656,1,23,2.3,64,148
657,2,24,2.4,71,10
658,3,25,2.5,78,23
659,4,26,2.6,85,
660,0,27,,92,49
661,1,28,2.8,2,62
662,2,29,2.9,9,75
663,3,30,3.0,,88
664,4,31,3.1,23,
665,0,32,3.2,30,114
666,1,33,3.3,37,127
667,2,34,3.4,44,140
668,3,35,3.5,51,2
669,4,36,3.6,58,
670,0,37,3.7,65,28
671,1,38,,72,41
672,2,39,3.9,79,54
673,3,40,4.0,86,67
674,4,41,4.1,93,
675,0,42,4.2,3,93
676,1,43,4.3,10,106
677,2,44,4.4,17,119
678,3,45,4.5,,132
679,4,46,4.6,31,
680,0,47,4.7,38,7
681,1,48,4.8,45,20
682,2,49,,52,33
683,3,50,5.0,59,46
684,4,51,5.1,66,
685,0,52,5.2,73,72
686,1,53,5.3,80,85
687,2,54,5.4,87,98
688,3,55,5.5,94,111
689,4,56,5.6,4,
690,0,57,5.7,11,137
691,1,58,5.8,18,150
692,2,59,5.9,25,12
693,3,60,,,25
694,4,61,6.1,39,
695,0,62,6.2,46,51
696,1,63,6.3,53,64
697,2,64,6.4,60,77
698,3,65,6.5,67,90
699,4,66,6.6,74,
700,0,67,6.7,81,116
701,1,68,6.8,88,129
702,2,69,6.9,95,142
703,3,70,7.0,5,4
704,4,71,,12,
705,0,72,7.2,19,30
706,1,73,7.3,26,43
707,2,74,7.4,33,56
708,3,75,7.5,,69
709,4,76,7.6,47,
710,0,77,7.7,54,95
711,1,78,7.8,61,108
712,2,79,7.9,68,121
713,3,80,8.0,75,134
714,4,81,8.1,82,
715,0,82,,89,9
716,1,83,8.3,96,22
717,2,84,8.4,6,35
718,3,85,8.5,13,48
719,4,86,8.6,20,
720,0,87,8.7,27,74
721,1,88,8.8,34,87
722,2,89,8.9,41,100
723,3,90,9.0,,113
724,4,91,9.1,55,
725,0,92,9.2,62,139
726,1,93,,69,1
727,2,94,9.4,76,14
728,3,95,9.5,83,27
729,4,96,9.6,90,
730,0,97,9.7,0,53
731,1,98,9.8,7,66
732,2,99,9.9,14,79
733,3,100,10.0,21,92
734,4,101,10.1,28,
735,0,102,10.2,35,118
736,1,103,10.3,42,131
737,2,104,,49,144
738,3,105,10.5,,6
739,4,106,10.6,63,
740,0,107,10.7,70,32
741,1,108,10.8,77,45
742,2,109,10.9,84,58
743,3,110,11.0,91,71
744,4,111,11.1,1,
745,0,112,11.2,8,97
746,1,113,11.3,15,110
747,2,114,11.4,22,123
748,3,115,,29,136
749,4,116,11.6,36,
750,0,117,11.7,43,11
751,1,118,11.8,50,24
752,2,119,11.9,57,37
753,3,120,12.0,,50
754,4,121,12.1,71,
755,0,122,12.2,78,76
756,1,123,12.3,85,89
757,2,124,12.4,92,102
758,3,125,12.5,2,115
759,4,126,,9,
760,0,127,12.7,16,141
761,1,128,12.8,23,3
762,2,129,12.9,30,16
763,3,130,13.0,37,29
764,4,131,13.1,44,
765,0,132,13.2,51,55
766,1,133,13.3,58,68
767,2,134,13.4,65,81
768,3,135,13.5,,94
769,4,136,13.6,79,
770,0,137,,86,120
771,1,138,13.8,93,133
772,2,139,13.9,3,146
773,3,140,14.0,10,8
774,4,141,14.1,17,
775,0,142,14.2,24,34
776,1,143,14.3,31,47
777,2,144,14.4,38,60
778,3,145,14.5,45,73
779,4,146,14.6,52,
780,0,147,14.7,59,99
781,1,148,,66,112
782,2,149,14.9,73,125
783,3,150,15.0,,138
784,4,151,15.1,87,
785,0,152,15.2,94,13
786,1,153,15.3,4,26
787,2,154,15.4,11,39
788,3,155,15.5,18,52
789,4,156,15.6,25,
790,0,157,15.7,32,78
791,1,158,15.8,39,91
792,2,159,,46,104
793,3,160,16.0,53,117
794,4,161,16.1,60,
795,0,162,16.2,67,143
796,1,163,16.3,74,5
797,2,164,16.4,81,18
798,3,165,16.5,,31
799,4,166,16.6,95,
800,0,167,16.7,5,57
801,1,168,16.8,12,70
802,2,169,16.9,19,83
803,3,170,,26,96
804,4,171,17.1,33,
805,0,172,17.2,40,122
806,1,173,17.3,47,135
807,2,174,17.4,54,148
808,3,175,17.5,61,10
809,4,176,17.6,68,
810,0,177,17.7,75,36
811,1,178,17.8,82,49
812,2,179,17.9,89,62
813,3,180,18.0,,75
814,4,181,,6,
815,0,182,18.2,13,101
816,1,183,18.3,20,114
817,2,184,18.4,27,127
818,3,185,18.5,34,140
819,4,186,18.6,41,
820,0,187,18.7,48,15
821,1,188,18.8,55,28
822,2,189,18.9,62,41
823,3,190,19.0,69,54
824,4,191,19.1,76,
825,0,192,,83,80
826,1,193,19.3,90,93
827,2,194,19.4,0,106
828,3,195,19.5,,119
829,4,196,19.6,14,
830,0,197,19.7,21,145
831,1,198,19.8,28,7
832,2,199,19.9,35,20
833,3,200,20.0,42,33
834,4,201,20.1,49,
835,0,202,20.2,56,59
836,1,203,,63,72
837,2,204,20.4,70,85
838,3,205,20.5,77,98
839,4,206,20.6,84,
840,0,207,20.7,91,124
841,1,208,20.8,1,137
842,2,209,20.9,8,150
843,3,210,21.0,,12
844,4,0,0.0,0,
845,0,1,0.1,7,13
846,1,2,0.2,14,26
847,2,3,,21,39
848,3,4,0.4,28,52
849,4,5,0.5,35,
850,0,6,0.6,42,78
851,1,7,0.7,49,91
852,2,8,0.8,56,104
853,3,9,0.9,63,117
854,4,10,1.0,70,
855,0,11,1.1,77,143
856,1,12,1.2,84,5
857,2,13,1.3,91,18
858,3,14,,,31
859,4,15,1.5,8,
860,0,16,1.6,15,57
861,1,17,1.7,22,70
862,2,18,1.8,29,83
863,3,19,1.9,36,96
864,4,20,2.0,43,
865,0,21,2.1,50,122
866,1,22,2.2,57,135
867,2,23,2.3,64,148
868,3,24,2.4,71,10
869,4,25,,78,
870,0,26,2.6,85,36
871,1,27,2.7,92,49
872,2,28,2.8,2,62
873,3,29,2.9,,75
874,4,30,3.0,16,
875,0,31,3.1,23,101
876,1,32,3.2,30,114
877,2,33,3.3,37,127
878,3,34,3.4,44,140
879,4,35,3.5,51,
880,0,36,,58,15
881,1,37,3.7,65,28
882,2,38,3.8,72,41
883,3,39,3.9,79,54
884,4,40,4.0,86,
885,0,41,4.1,93,80
886,1,42,4.2,3,93
887,2,43,4.3,10,106
888,3,44,4.4,,119
889,4,45,4.5,24,
890,0,46,4.6,31,145
891,1,47,,38,7
892,2,48,4.8,45,20
893,3,49,4.9,52,33
894,4,50,5.0,59,
895,0,51,5.1,66,59
896,1,52,5.2,73,72
897,2,53,5.3,80,85
898,3,54,5.4,87,98
899,4,55,5.5,94,
900,0,56,5.6,4,124
901,1,57,5.7,11,137
902,2,58,,18,150
903,3,59,5.9,,12
904,4,60,6.0,32,
905,0,61,6.1,39,38
906,1,62,6.2,46,51
907,2,63,6.3,53,64
908,3,64,6.4,60,77
909,4,65,6.5,67,
910,0,66,6.6,74,103
911,1,67,6.7,81,116
912,2,68,6.8,88,129
913,3,69,,95,142
914,4,70,7.0,5,
915,0,71,7.1,12,17
916,1,72,7.2,19,30
917,2,73,7.3,26,43
918,3,74,7.4,,56
919,4,75,7.5,40,
920,0,76,7.6,47,82
921,1,77,7.7,54,95
922,2,78,7.8,61,108
923,3,79,7.9,68,121
924,4,80,,75,
925,0,81,8.1,82,147
926,1,82,8.2,89,9
927,2,83,8.3,96,22
928,3,84,8.4,6,35
929,4,85,8.5,13,
930,0,86,8.6,20,61
931,1,87,8.7,27,74
932,2,88,8.8,34,87
933,3,89,8.9,,100
934,4,90,9.0,48,
935,0,91,,55,126
936,1,92,9.2,62,139
937,2,93,9.3,69,1
938,3,94,9.4,76,14
939,4,95,9.5,83,
940,0,96,9.6,90,40
941,1,97,9.7,0,53
942,2,98,9.8,7,66
943,3,99,9.9,14,79
944,4,100,10.0,21,
945,0,101,10.1,28,105
946,1,102,,35,118
947,2,103,10.3,42,131
948,3,104,10.4,,144
949,4,105,10.5,56,
950,0,106,10.6,63,19
951,1,107,10.7,70,32
952,2,108,10.8,77,45
953,3,109,10.9,84,58
954,4,110,11.0,91,
955,0,111,11.1,1,84
956,1,112,11.2,8,97
957,2,113,,15,110
958,3,114,11.4,22,123
959,4,115,11.5,29,
960,0,116,11.6,36,149
961,1,117,11.7,43,11
962,2,118,11.8,50,24
963,3,119,11.9,,37
964,4,120,12.0,64,
965,0,121,12.1,71,63
966,1,122,12.2,78,76
967,2,123,12.3,85,89
968,3,124,,92,102
969,4,125,12.5,2,
970,0,126,12.6,9,128
971,1,127,12.7,16,141
972,2,128,12.8,23,3
973,3,129,12.9,30,16
974,4,130,13.0,37,
975,0,131,13.1,44,42
976,1,132,13.2,51,55
977,2,133,13.3,58,68
978,3,134,13.4,,81
979,4,135,,72,
980,0,136,13.6,79,107
981,1,137,13.7,86,120
982,2,138,13.8,93,133
983,3,139,13.9,3,146
984,4,140,14.0,10,
985,0,141,14.1,17,21
986,1,142,14.2,24,34
987,2,143,14.3,31,47
988,3,144,14.4,38,60
989,4,145,14.5,45,
990,0,146,,52,86
991,1,147,14.7,59,99
992,2,148,14.8,66,112
993,3,149,14.9,,125
994,4,150,15.0,80,
995,0,151,15.1,87,0
996,1,152,15.2,94,13
997,2,153,15.3,4,26
998,3,154,15.4,11,39
999,4,155,15.5,18,
