id,cluster_id,x,y
138,C,-12,12
139,D,12,12
140,A,-12,-12
141,B,12,-12
142,C,-12,12
143,D,12,12
144,A,-12,-12
145,B,12,-12
146,C,-12,12
147,D,12,12
148,A,-12,-12
149,B,12,-12
150,C,-12,12
151,D,12,12
152,A,-12,-12
153,B,12,-12
154,C,-12,12
155,D,12,12
156,A,-12,-12
157,B,12,-12
158,C,-12,12
159,D,12,12
160,A,-12,-12
161,B,12,-12
162,C,-12,12
163,D,12,12
164,A,-12,-12
165,B,12,-12
166,C,-12,12
167,D,12,12
168,A,-12,-12
169,B,12,-12
170,C,-12,12
171,D,12,12
172,A,-12,-12
173,B,12,-12
174,C,-12,12
175,D,12,12
176,A,-12,-12
177,B,12,-12
178,C,-12,12
179,D,12,12
180,A,-12,-12
181,B,12,-12
182,C,-12,12
183,D,12,12
184,A,-12,-12
185,B,12,-12
186,C,-12,12
187,D,12,12
188,A,-12,-12
189,B,12,-12
190,C,-12,12
191,D,12,12
192,A,-12,-12
193,B,12,-12
194,C,-12,12
195,D,12,12
196,A,-12,-12
197,B,12,-12
198,C,-12,12
199,D,12,12
200,A,-12,-12
201,B,12,-12
202,C,-12,12
203,D,12,12
204,A,-12,-12
205,B,12,-12
206,C,-12,12
207,D,12,12
208,A,-12,-12
209,B,12,-12
210,C,-12,12
211,D,12,12
212,A,-12,-12
213,B,12,-12
214,C,-12,12
215,D,12,12
216,A,-12,-12
217,B,12,-12
218,C,-12,12
219,D,12,12
220,A,-12,-12
221,B,12,-12
222,C,-12,12
223,D,12,12
224,A,-12,-12
225,B,12,-12
226,C,-12,12
227,D,12,12
228,A,-12,-12
229,B,12,-12
230,C,-12,12
231,D,12,12
232,A,-12,-12
233,B,12,-12
234,C,-12,12
235,D,12,12
236,A,-12,-12
237,B,12,-12
238,C,-12,12
239,D,12,12
240,A,-12,-12
241,B,12,-12
242,C,-12,12
243,D,12,12
244,A,-12,-12
245,B,12,-12
246,C,-12,12
247,D,12,12
248,A,-12,-12
249,B,12,-12
250,C,-12,12
251,D,12,12
252,A,-12,-12
253,B,12,-12
254,C,-12,12
255,D,12,12
256,A,-12,-12
257,B,12,-12
258,C,-12,12
259,D,12,12
260,A,-12,-12
261,B,12,-12
262,C,-12,12
263,D,12,12
264,A,-12,-12
265,B,12,-12
266,C,-12,12
267,D,12,12
268,A,-12,-12
269,B,12,-12
270,C,-12,12
271,D,12,12
272,A,-12,-12
273,B,12,-12
274,C,-12,12
275,D,12,12
276,A,-12,-12
277,B,12,-12
278,C,-12,12
279,D,12,12
280,A,-12,-12
281,B,12,-12
282,C,-12,12
283,D,12,12
284,A,-12,-12
285,B,12,-12
286,C,-12,12
287,D,12,12
288,A,-12,-12
289,B,12,-12
290,C,-12,12
291,D,12,12
292,A,-12,-12
293,B,12,-12
294,C,-12,12
295,D,12,12
296,A,-12,-12
297,B,12,-12
298,C,-12,12
299,D,12,12
300,A,-12,-12
301,B,12,-12
302,C,-12,12
303,D,12,12
304,A,-12,-12
305,B,12,-12
306,C,-12,12
307,D,12,12
308,A,-12,-12
309,B,12,-12
310,C,-12,12
311,D,12,12
312,A,-12,-12
313,B,12,-12
314,C,-12,12
315,D,12,12
316,A,-12,-12
317,B,12,-12
318,C,-12,12
319,D,12,12
320,A,-12,-12
321,B,12,-12
322,C,-12,12
323,D,12,12
324,A,-12,-12
325,B,12,-12
326,C,-12,12
327,D,12,12
328,A,-12,-12
329,B,12,-12
330,C,-12,12
331,D,12,12
332,A,-12,-12
333,B,12,-12
334,C,-12,12
335,D,12,12
336,A,-12,-12
337,B,12,-12
338,C,-12,12
339,D,12,12
340,A,-12,-12
341,B,12,-12
342,C,-12,12
343,D,12,12
344,A,-12,-12
345,B,12,-12
346,C,-12,12
347,D,12,12
348,A,-12,-12
349,B,12,-12
350,C,-12,12
351,D,12,12
352,A,-12,-12
353,B,12,-12
354,C,-12,12
355,D,12,12
356,A,-12,-12
357,B,12,-12
358,C,-12,12
359,D,12,12
360,A,-12,-12
361,B,12,-12
362,C,-12,12
363,D,12,12
364,A,-12,-12
365,B,12,-12
366,C,-12,12
367,D,12,12
368,A,-12,-12
369,B,12,-12
370,C,-12,12
371,D,12,12
372,A,-12,-12
373,B,12,-12
374,C,-12,12
375,D,12,12
376,A,-12,-12
377,B,12,-12
378,C,-12,12
379,D,12,12
380,A,-12,-12
381,B,12,-12
382,C,-12,12
383,D,12,12
384,A,-12,-12
385,B,12,-12
386,C,-12,12
387,D,12,12
388,A,-12,-12
389,B,12,-12
390,C,-12,12
391,D,12,12
392,A,-12,-12
393,B,12,-12
394,C,-12,12
395,D,12,12
396,A,-12,-12
397,B,12,-12
398,C,-12,12
399,D,12,12
400,A,-12,-12
401,B,12,-12
402,C,-12,12
403,D,12,12
404,A,-12,-12
405,B,12,-12
406,C,-12,12
407,D,12,12
408,A,-12,-12
409,B,12,-12
410,C,-12,12
411,D,12,12
412,A,-12,-12
413,B,12,-12
414,C,-12,12
415,D,12,12
416,A,-12,-12
417,B,12,-12
418,C,-12,12
419,D,12,12
420,A,-12,-12
421,B,12,-12
422,C,-12,12
423,D,12,12
424,A,-12,-12
425,B,12,-12
426,C,-12,12
427,D,12,12
428,A,-12,-12
429,B,12,-12
430,C,-12,12
431,D,12,12
432,A,-12,-12
433,B,12,-12
434,C,-12,12
435,D,12,12
436,A,-12,-12
437,B,12,-12
438,C,-12,12
439,D,12,12
440,A,-12,-12
441,B,12,-12
442,C,-12,12
443,D,12,12
444,A,-12,-12
445,B,12,-12
446,C,-12,12
447,D,12,12
448,A,-12,-12
449,B,12,-12
450,C,-12,12
451,D,12,12
452,A,-12,-12
453,B,12,-12
454,C,-12,12
455,D,12,12
456,A,-12,-12
457,B,12,-12
458,C,-12,12
459,D,12,12
460,A,-12,-12
461,B,12,-12
462,C,-12,12
463,D,12,12
464,A,-12,-12
465,B,12,-12
466,C,-12,12
467,D,12,12
468,A,-12,-12
469,B,12,-12
470,C,-12,12
471,D,12,12
472,A,-12,-12
473,B,12,-12
474,C,-12,12
475,D,12,12
476,A,-12,-12
477,B,12,-12
478,C,-12,12
479,D,12,12
480,A,-12,-12
481,B,12,-12
482,C,-12,12
483,D,12,12
484,A,-12,-12
485,B,12,-12
486,C,-12,12
487,D,12,12
488,A,-12,-12
489,B,12,-12
490,C,-12,12
491,D,12,12
492,A,-12,-12
493,B,12,-12
494,C,-12,12
495,D,12,12
496,A,-12,-12
497,B,12,-12
498,C,-12,12
499,D,12,12
500,A,-12,-12
501,B,12,-12
502,C,-12,12
503,D,12,12
504,A,-12,-12
505,B,12,-12
506,C,-12,12
507,D,12,12
508,A,-12,-12
509,B,12,-12
510,C,-12,12
511,D,12,12
512,A,-12,-12
513,B,12,-12
514,C,-12,12
515,D,12,12
516,A,-12,-12
517,B,12,-12
518,C,-12,12
519,D,12,12
520,A,-12,-12
521,B,12,-12
522,C,-12,12
523,D,12,12
524,A,-12,-12
525,B,12,-12
526,C,-12,12
527,D,12,12
528,A,-12,-12
529,B,12,-12
530,C,-12,12
531,D,12,12
532,A,-12,-12
533,B,12,-12
534,C,-12,12
535,D,12,12
536,A,-12,-12
537,B,12,-12
538,C,-12,12
539,D,12,12
540,A,-12,-12
541,B,12,-12
542,C,-12,12
543,D,12,12
544,A,-12,-12
545,B,12,-12
546,C,-12,12
547,D,12,12
548,A,-12,-12
549,B,12,-12
550,C,-12,12
551,D,12,12
552,A,-12,-12
553,B,12,-12
554,C,-12,12
555,D,12,12
556,A,-12,-12
557,B,12,-12
558,C,-12,12
559,D,12,12
560,A,-12,-12
561,B,12,-12
562,C,-12,12
563,D,12,12
564,A,-12,-12
565,B,12,-12
566,C,-12,12
567,D,12,12
568,A,-12,-12
569,B,12,-12
570,C,-12,12
571,D,12,12
572,A,-12,-12
573,B,12,-12
574,C,-12,12
575,D,12,12
576,A,-12,-12
577,B,12,-12
578,C,-12,12
579,D,12,12
580,A,-12,-12
581,B,12,-12
582,C,-12,12
583,D,12,12
584,A,-12,-12
585,B,12,-12
586,C,-12,12
587,D,12,12
588,A,-12,-12
589,B,12,-12
590,C,-12,12
591,D,12,12
592,A,-12,-12
593,B,12,-12
594,C,-12,12
595,D,12,12
596,A,-12,-12
597,B,12,-12
598,C,-12,12
599,D,12,12
600,A,-12,-12
601,B,12,-12
602,C,-12,12
603,D,12,12
604,A,-12,-12
605,B,12,-12
606,C,-12,12
607,D,12,12
608,A,-12,-12
609,B,12,-12
610,C,-12,12
611,D,12,12
612,A,-12,-12
613,B,12,-12
614,C,-12,12
615,D,12,12
616,A,-12,-12
617,B,12,-12
618,C,-12,12
619,D,12,12
620,A,-12,-12
621,B,12,-12
622,C,-12,12
623,D,12,12
624,A,-12,-12
625,B,12,-12
626,C,-12,12
627,D,12,12
628,A,-12,-12
629,B,12,-12
630,C,-12,12
631,D,12,12
632,A,-12,-12
633,B,12,-12
634,C,-12,12
635,D,12,12
636,A,-12,-12
637,B,12,-12
638,C,-12,12
639,D,12,12
640,A,-12,-12
641,B,12,-12
642,C,-12,12
643,D,12,12
644,A,-12,-12
645,B,12,-12
646,C,-12,12
647,D,12,12
648,A,-12,-12
649,B,12,-12
650,C,-12,12
651,D,12,12
652,A,-12,-12
653,B,12,-12
654,C,-12,12
655,D,12,12
656,A,-12,-12
657,B,12,-12
658,C,-12,12
659,D,12,12
660,A,-12,-12
661,B,12,-12
662,C,-12,12
663,D,12,12
664,A,-12,-12
665,B,12,-12
666,C,-12,12
667,D,12,12
668,A,-12,-12
669,B,12,-12
670,C,-12,12
671,D,12,12
672,A,-12,-12
673,B,12,-12
674,C,-12,12
675,D,12,12
676,A,-12,-12
677,B,12,-12
678,C,-12,12
679,D,12,12
680,A,-12,-12
681,B,12,-12
682,C,-12,12
683,D,12,12
684,A,-12,-12
685,B,12,-12
686,C,-12,12
687,D,12,12
688,A,-12,-12
689,B,12,-12
690,C,-12,12
691,D,12,12
692,A,-12,-12
693,B,12,-12
694,C,-12,12
695,D,12,12
696,A,-12,-12
697,B,12,-12
698,C,-12,12
699,D,12,12
700,A,-12,-12
701,B,12,-12
702,C,-12,12
703,D,12,12
704,A,-12,-12
705,B,12,-12
706,C,-12,12
707,D,12,12
708,A,-12,-12
709,B,12,-12
710,C,-12,12
711,D,12,12
712,A,-12,-12
713,B,12,-12
714,C,-12,12
715,D,12,12
716,A,-12,-12
717,B,12,-12
718,C,-12,12
719,D,12,12
720,A,-12,-12
721,B,12,-12
722,C,-12,12
723,D,12,12
724,A,-12,-12
725,B,12,-12
726,C,-12,12
727,D,12,12
728,A,-12,-12
729,B,12,-12
730,C,-12,12
731,D,12,12
732,A,-12,-12
733,B,12,-12
734,C,-12,12
735,D,12,12
736,A,-12,-12
737,B,12,-12
738,C,-12,12
739,D,12,12
740,A,-12,-12
741,B,12,-12
742,C,-12,12
743,D,12,12
744,A,-12,-12
745,B,12,-12
746,C,-12,12
747,D,12,12
748,A,-12,-12
749,B,12,-12
750,C,-12,12
751,D,12,12
752,A,-12,-12
753,B,12,-12
754,C,-12,12
755,D,12,12
756,A,-12,-12
757,B,12,-12
758,C,-12,12
759,D,12,12
760,A,-12,-12
761,B,12,-12
762,C,-12,12
763,D,12,12
764,A,-12,-12
765,B,12,-12
766,C,-12,12
767,D,12,12
768,A,-12,-12
769,B,12,-12
770,C,-12,12
771,D,12,12
772,A,-12,-12
773,B,12,-12
774,C,-12,12
775,D,12,12
776,A,-12,-12
777,B,12,-12
778,C,-12,12
779,D,12,12
780,A,-12,-12
781,B,12,-12
782,C,-12,12
783,D,12,12
784,A,-12,-12
785,B,12,-12
786,C,-12,12
787,D,12,12
788,A,-12,-12
789,B,12,-12
790,C,-12,12
791,D,12,12
792,A,-12,-12
793,B,12,-12
794,C,-12,12
795,D,12,12
796,A,-12,-12
797,B,12,-12
798,C,-12,12
799,D,12,12
800,A,-12,-12
801,B,12,-12
802,C,-12,12
803,D,12,12
804,A,-12,-12
805,B,12,-12
806,C,-12,12
807,D,12,12
808,A,-12,-12
809,B,12,-12
810,C,-12,12
811,D,12,12
812,A,-12,-12
813,B,12,-12
814,C,-12,12
815,D,12,12
816,A,-12,-12
817,B,12,-12
818,C,-12,12
819,D,12,12
820,A,-12,-12
821,B,12,-12
822,C,-12,12
823,D,12,12
824,A,-12,-12
825,B,12,-12
826,C,-12,12
827,D,12,12
828,A,-12,-12
829,B,12,-12
830,C,-12,12
831,D,12,12
832,A,-12,-12
833,B,12,-12
834,C,-12,12
835,D,12,12
836,A,-12,-12
837,B,12,-12
838,C,-12,12
839,D,12,12
840,A,-12,-12
841,B,12,-12
842,C,-12,12
843,D,12,12
844,A,-12,-12
845,B,12,-12
846,C,-12,12
847,D,12,12
848,A,-12,-12
849,B,12,-12
850,C,-12,12
851,D,12,12
852,A,-12,-12
853,B,12,-12
854,C,-12,12
855,D,12,12
856,A,-12,-12
857,B,12,-12
858,C,-12,12
859,D,12,12
860,A,-12,-12
861,B,12,-12
862,C,-12,12
863,D,12,12
864,A,-12,-12
865,B,12,-12
866,C,-12,12
867,D,12,12
868,A,-12,-12
869,B,12,-12
870,C,-12,12
871,D,12,12
872,A,-12,-12
873,B,12,-12
874,C,-12,12
875,D,12,12
876,A,-12,-12
877,B,12,-12
878,C,-12,12
879,D,12,12
880,A,-12,-12
881,B,12,-12
882,C,-12,12
883,D,12,12
884,A,-12,-12
885,B,12,-12
886,C,-12,12
887,D,12,12
888,A,-12,-12
889,B,12,-12
890,C,-12,12
891,D,12,12
892,A,-12,-12
893,B,12,-12
894,C,-12,12
895,D,12,12
896,A,-12,-12
897,B,12,-12
898,C,-12,12
899,D,12,12
900,A,-12,-12
901,B,12,-12
902,C,-12,12
903,D,12,12
904,A,-12,-12
905,B,12,-12
906,C,-12,12
907,D,12,12
908,A,-12,-12
909,B,12,-12
910,C,-12,12
911,D,12,12
912,A,-12,-12
913,B,12,-12
914,C,-12,12
915,D,12,12
916,A,-12,-12
917,B,12,-12
918,C,-12,12
919,D,12,12
920,A,-12,-12
921,B,12,-12
922,C,-12,12
923,D,12,12
924,A,-12,-12
925,B,12,-12
926,C,-12,12
927,D,12,12
928,A,-12,-12
929,B,12,-12
930,C,-12,12
931,D,12,12
932,A,-12,-12
933,B,12,-12
934,C,-12,12
935,D,12,12
936,A,-12,-12
937,B,12,-12
938,C,-12,12
939,D,12,12
940,A,-12,-12
941,B,12,-12
942,C,-12,12
943,D,12,12
944,A,-12,-12
945,B,12,-12
946,C,-12,12
947,D,12,12
948,A,-12,-12
949,B,12,-12
950,C,-12,12
951,D,12,12
952,A,-12,-12
953,B,12,-12
954,C,-12,12
955,D,12,12
956,A,-12,-12
957,B,12,-12
958,C,-12,12
959,D,12,12
960,A,-12,-12
961,B,12,-12
962,C,-12,12
963,D,12,12
964,A,-12,-12
965,B,12,-12
966,C,-12,12
967,D,12,12
968,A,-12,-12
969,B,12,-12
970,C,-12,12
971,D,12,12
972,A,-12,-12
973,B,12,-12
974,C,-12,12
975,D,12,12
976,A,-12,-12
977,B,12,-12
978,C,-12,12
979,D,12,12
980,A,-12,-12
981,B,12,-12
982,C,-12,12
983,D,12,12
984,A,-12,-12
985,B,12,-12
986,C,-12,12
987,D,12,12
988,A,-12,-12
989,B,12,-12
990,C,-12,12
991,D,12,12
992,A,-12,-12
993,B,12,-12
994,C,-12,12
995,D,12,12
996,A,-12,-12
997,B,12,-12
998,C,-12,12
999,D,12,12
