id,value,metamorphic_control
145,5,control-012
146,6,control-049
147,7,control-086
148,8,control-022
149,9,control-059
150,0,control-096
151,1,control-032
152,2,control-069
153,3,control-005
154,4,control-042
155,5,control-079
156,6,control-015
157,7,control-052
158,8,control-089
159,9,control-025
160,0,control-062
161,1,control-099
162,2,control-035
163,3,control-072
164,4,control-008
165,5,control-045
166,6,control-082
167,7,control-018
168,8,control-055
169,9,control-092
170,0,control-028
171,1,control-065
172,2,control-001
173,3,control-038
174,4,control-075
175,5,control-011
176,6,control-048
177,7,control-085
178,8,control-021
179,9,control-058
180,0,control-095
181,1,control-031
182,2,control-068
183,3,control-004
184,4,control-041
185,5,control-078
186,6,control-014
187,7,control-051
188,8,control-088
189,9,control-024
190,0,control-061
191,1,control-098
192,2,control-034
193,3,control-071
194,4,control-007
195,5,control-044
196,6,control-081
197,7,control-017
198,8,control-054
199,9,control-091
200,0,control-027
201,1,control-064
202,2,control-000
203,3,control-037
204,4,control-074
205,5,control-010
206,6,control-047
207,7,control-084
208,8,control-020
209,9,control-057
210,0,control-094
211,1,control-030
212,2,control-067
213,3,control-003
214,4,control-040
215,5,control-077
216,6,control-013
217,7,control-050
218,8,control-087
219,9,control-023
220,0,control-060
221,1,control-097
222,2,control-033
223,3,control-070
224,4,control-006
225,5,control-043
226,6,control-080
227,7,control-016
228,8,control-053
229,9,control-090
230,0,control-026
231,1,control-063
232,2,control-100
233,3,control-036
234,4,control-073
235,5,control-009
236,6,control-046
237,7,control-083
238,8,control-019
239,9,control-056
240,0,control-093
241,1,control-029
242,2,control-066
243,3,control-002
244,4,control-039
245,5,control-076
246,6,control-012
247,7,control-049
248,8,control-086
249,9,control-022
250,0,control-059
251,1,control-096
252,2,control-032
253,3,control-069
254,4,control-005
255,5,control-042
256,6,control-079
257,7,control-015
258,8,control-052
259,9,control-089
260,0,control-025
261,1,control-062
262,2,control-099
263,3,control-035
264,4,control-072
265,5,control-008
266,6,control-045
267,7,control-082
268,8,control-018
269,9,control-055
270,0,control-092
271,1,control-028
272,2,control-065
273,3,control-001
274,4,control-038
275,5,control-075
276,6,control-011
277,7,control-048
278,8,control-085
279,9,control-021
280,0,control-058
281,1,control-095
282,2,control-031
283,3,control-068
284,4,control-004
285,5,control-041
286,6,control-078
287,7,control-014
288,8,control-051
289,9,control-088
290,0,control-024
291,1,control-061
292,2,control-098
293,3,control-034
294,4,control-071
295,5,control-007
296,6,control-044
297,7,control-081
298,8,control-017
299,9,control-054
300,0,control-091
301,1,control-027
302,2,control-064
303,3,control-000
304,4,control-037
305,5,control-074
306,6,control-010
307,7,control-047
308,8,control-084
309,9,control-020
310,0,control-057
311,1,control-094
312,2,control-030
313,3,control-067
314,4,control-003
315,5,control-040
316,6,control-077
317,7,control-013
318,8,control-050
319,9,control-087
320,0,control-023
321,1,control-060
322,2,control-097
323,3,control-033
324,4,control-070
325,5,control-006
326,6,control-043
327,7,control-080
328,8,control-016
329,9,control-053
330,0,control-090
331,1,control-026
332,2,control-063
333,3,control-100
334,4,control-036
335,5,control-073
336,6,control-009
337,7,control-046
338,8,control-083
339,9,control-019
340,0,control-056
341,1,control-093
342,2,control-029
343,3,control-066
344,4,control-002
345,5,control-039
346,6,control-076
347,7,control-012
348,8,control-049
349,9,control-086
350,0,control-022
351,1,control-059
352,2,control-096
353,3,control-032
354,4,control-069
355,5,control-005
356,6,control-042
357,7,control-079
358,8,control-015
359,9,control-052
360,0,control-089
361,1,control-025
362,2,control-062
363,3,control-099
364,4,control-035
365,5,control-072
366,6,control-008
367,7,control-045
368,8,control-082
369,9,control-018
370,0,control-055
371,1,control-092
372,2,control-028
373,3,control-065
374,4,control-001
375,5,control-038
376,6,control-075
377,7,control-011
378,8,control-048
379,9,control-085
380,0,control-021
381,1,control-058
382,2,control-095
383,3,control-031
384,4,control-068
385,5,control-004
386,6,control-041
387,7,control-078
388,8,control-014
389,9,control-051
390,0,control-088
391,1,control-024
392,2,control-061
393,3,control-098
394,4,control-034
395,5,control-071
396,6,control-007
397,7,control-044
398,8,control-081
399,9,control-017
400,0,control-054
401,1,control-091
402,2,control-027
403,3,control-064
404,4,control-000
405,5,control-037
406,6,control-074
407,7,control-010
408,8,control-047
409,9,control-084
410,0,control-020
411,1,control-057
412,2,control-094
413,3,control-030
414,4,control-067
415,5,control-003
416,6,control-040
417,7,control-077
418,8,control-013
419,9,control-050
420,0,control-087
421,1,control-023
422,2,control-060
423,3,control-097
424,4,control-033
425,5,control-070
426,6,control-006
427,7,control-043
428,8,control-080
429,9,control-016
430,0,control-053
431,1,control-090
432,2,control-026
433,3,control-063
434,4,control-100
435,5,control-036
436,6,control-073
437,7,control-009
438,8,control-046
439,9,control-083
440,0,control-019
441,1,control-056
442,2,control-093
443,3,control-029
444,4,control-066
445,5,control-002
446,6,control-039
447,7,control-076
448,8,control-012
449,9,control-049
450,0,control-086
451,1,control-022
452,2,control-059
453,3,control-096
454,4,control-032
455,5,control-069
456,6,control-005
457,7,control-042
458,8,control-079
459,9,control-015
460,0,control-052
461,1,control-089
462,2,control-025
463,3,control-062
464,4,control-099
465,5,control-035
466,6,control-072
467,7,control-008
468,8,control-045
469,9,control-082
470,0,control-018
471,1,control-055
472,2,control-092
473,3,control-028
474,4,control-065
475,5,control-001
476,6,control-038
477,7,control-075
478,8,control-011
479,9,control-048
480,0,control-085
481,1,control-021
482,2,control-058
483,3,control-095
484,4,control-031
485,5,control-068
486,6,control-004
487,7,control-041
488,8,control-078
489,9,control-014
490,0,control-051
491,1,control-088
492,2,control-024
493,3,control-061
494,4,control-098
495,5,control-034
496,6,control-071
497,7,control-007
498,8,control-044
499,9,control-081
500,0,control-017
501,1,control-054
502,2,control-091
503,3,control-027
504,4,control-064
505,5,control-000
506,6,control-037
507,7,control-074
508,8,control-010
509,9,control-047
510,0,control-084
511,1,control-020
512,2,control-057
513,3,control-094
514,4,control-030
515,5,control-067
516,6,control-003
517,7,control-040
518,8,control-077
519,9,control-013
520,0,control-050
521,1,control-087
522,2,control-023
523,3,control-060
524,4,control-097
525,5,control-033
526,6,control-070
527,7,control-006
528,8,control-043
529,9,control-080
530,0,control-016
531,1,control-053
532,2,control-090
533,3,control-026
534,4,control-063
535,5,control-100
536,6,control-036
537,7,control-073
538,8,control-009
539,9,control-046
540,0,control-083
541,1,control-019
542,2,control-056
543,3,control-093
544,4,control-029
545,5,control-066
546,6,control-002
547,7,control-039
548,8,control-076
549,9,control-012
550,0,control-049
551,1,control-086
552,2,control-022
553,3,control-059
554,4,control-096
555,5,control-032
556,6,control-069
557,7,control-005
558,8,control-042
559,9,control-079
560,0,control-015
561,1,control-052
562,2,control-089
563,3,control-025
564,4,control-062
565,5,control-099
566,6,control-035
567,7,control-072
568,8,control-008
569,9,control-045
570,0,control-082
571,1,control-018
572,2,control-055
573,3,control-092
574,4,control-028
575,5,control-065
576,6,control-001
577,7,control-038
578,8,control-075
579,9,control-011
580,0,control-048
581,1,control-085
582,2,control-021
583,3,control-058
584,4,control-095
585,5,control-031
586,6,control-068
587,7,control-004
588,8,control-041
589,9,control-078
590,0,control-014
591,1,control-051
592,2,control-088
593,3,control-024
594,4,control-061
595,5,control-098
596,6,control-034
597,7,control-071
598,8,control-007
599,9,control-044
600,0,control-081
601,1,control-017
602,2,control-054
603,3,control-091
604,4,control-027
605,5,control-064
606,6,control-000
607,7,control-037
608,8,control-074
609,9,control-010
610,0,control-047
611,1,control-084
612,2,control-020
613,3,control-057
614,4,control-094
615,5,control-030
616,6,control-067
617,7,control-003
618,8,control-040
619,9,control-077
620,0,control-013
621,1,control-050
622,2,control-087
623,3,control-023
624,4,control-060
625,5,control-097
626,6,control-033
627,7,control-070
628,8,control-006
629,9,control-043
630,0,control-080
631,1,control-016
632,2,control-053
633,3,control-090
634,4,control-026
635,5,control-063
636,6,control-100
637,7,control-036
638,8,control-073
639,9,control-009
640,0,control-046
641,1,control-083
642,2,control-019
643,3,control-056
644,4,control-093
645,5,control-029
646,6,control-066
647,7,control-002
648,8,control-039
649,9,control-076
650,0,control-012
651,1,control-049
652,2,control-086
653,3,control-022
654,4,control-059
655,5,control-096
656,6,control-032
657,7,control-069
658,8,control-005
659,9,control-042
660,0,control-079
661,1,control-015
662,2,control-052
663,3,control-089
664,4,control-025
665,5,control-062
666,6,control-099
667,7,control-035
668,8,control-072
669,9,control-008
670,0,control-045
671,1,control-082
672,2,control-018
673,3,control-055
674,4,control-092
675,5,control-028
676,6,control-065
677,7,control-001
678,8,control-038
679,9,control-075
680,0,control-011
681,1,control-048
682,2,control-085
683,3,control-021
684,4,control-058
685,5,control-095
686,6,control-031
687,7,control-068
688,8,control-004
689,9,control-041
690,0,control-078
691,1,control-014
692,2,control-051
693,3,control-088
694,4,control-024
695,5,control-061
696,6,control-098
697,7,control-034
698,8,control-071
699,9,control-007
700,0,control-044
701,1,control-081
702,2,control-017
703,3,control-054
704,4,control-091
705,5,control-027
706,6,control-064
707,7,control-000
708,8,control-037
709,9,control-074
710,0,control-010
711,1,control-047
712,2,control-084
713,3,control-020
714,4,control-057
715,5,control-094
716,6,control-030
717,7,control-067
718,8,control-003
719,9,control-040
720,0,control-077
721,1,control-013
722,2,control-050
723,3,control-087
724,4,control-023
725,5,control-060
726,6,control-097
727,7,control-033
728,8,control-070
729,9,control-006
730,0,control-043
731,1,control-080
732,2,control-016
733,3,control-053
734,4,control-090
735,5,control-026
736,6,control-063
737,7,control-100
738,8,control-036
739,9,control-073
740,0,control-009
741,1,control-046
742,2,control-083
743,3,control-019
744,4,control-056
745,5,control-093
746,6,control-029
747,7,control-066
748,8,control-002
749,9,control-039
750,0,control-076
751,1,control-012
752,2,control-049
753,3,control-086
754,4,control-022
755,5,control-059
756,6,control-096
757,7,control-032
758,8,control-069
759,9,control-005
760,0,control-042
761,1,control-079
762,2,control-015
763,3,control-052
764,4,control-089
765,5,control-025
766,6,control-062
767,7,control-099
768,8,control-035
769,9,control-072
770,0,control-008
771,1,control-045
772,2,control-082
773,3,control-018
774,4,control-055
775,5,control-092
776,6,control-028
777,7,control-065
778,8,control-001
779,9,control-038
780,0,control-075
781,1,control-011
782,2,control-048
783,3,control-085
784,4,control-021
785,5,control-058
786,6,control-095
787,7,control-031
788,8,control-068
789,9,control-004
790,0,control-041
791,1,control-078
792,2,control-014
793,3,control-051
794,4,control-088
795,5,control-024
796,6,control-061
797,7,control-098
798,8,control-034
799,9,control-071
800,0,control-007
801,1,control-044
802,2,control-081
803,3,control-017
804,4,control-054
805,5,control-091
806,6,control-027
807,7,control-064
808,8,control-000
809,9,control-037
810,0,control-074
811,1,control-010
812,2,control-047
813,3,control-084
814,4,control-020
815,5,control-057
816,6,control-094
817,7,control-030
818,8,control-067
819,9,control-003
820,0,control-040
821,1,control-077
822,2,control-013
823,3,control-050
824,4,control-087
825,5,control-023
826,6,control-060
827,7,control-097
828,8,control-033
829,9,control-070
830,0,control-006
831,1,control-043
832,2,control-080
833,3,control-016
834,4,control-053
835,5,control-090
836,6,control-026
837,7,control-063
838,8,control-100
839,9,control-036
840,0,control-073
841,1,control-009
842,2,control-046
843,3,control-083
844,4,control-019
845,5,control-056
846,6,control-093
847,7,control-029
848,8,control-066
849,9,control-002
850,0,control-039
851,1,control-076
852,2,control-012
853,3,control-049
854,4,control-086
855,5,control-022
856,6,control-059
857,7,control-096
858,8,control-032
859,9,control-069
860,0,control-005
861,1,control-042
862,2,control-079
863,3,control-015
864,4,control-052
865,5,control-089
866,6,control-025
867,7,control-062
868,8,control-099
869,9,control-035
870,0,control-072
871,1,control-008
872,2,control-045
873,3,control-082
874,4,control-018
875,5,control-055
876,6,control-092
877,7,control-028
878,8,control-065
879,9,control-001
880,0,control-038
881,1,control-075
882,2,control-011
883,3,control-048
884,4,control-085
885,5,control-021
886,6,control-058
887,7,control-095
888,8,control-031
889,9,control-068
890,0,control-004
891,1,control-041
892,2,control-078
893,3,control-014
894,4,control-051
895,5,control-088
896,6,control-024
897,7,control-061
898,8,control-098
899,9,control-034
900,0,control-071
901,1,control-007
902,2,control-044
903,3,control-081
904,4,control-017
905,5,control-054
906,6,control-091
907,7,control-027
908,8,control-064
909,9,control-000
910,0,control-037
911,1,control-074
912,2,control-010
913,3,control-047
914,4,control-084
915,5,control-020
916,6,control-057
917,7,control-094
918,8,control-030
919,9,control-067
920,0,control-003
921,1,control-040
922,2,control-077
923,3,control-013
924,4,control-050
925,5,control-087
926,6,control-023
927,7,control-060
928,8,control-097
929,9,control-033
930,0,control-070
931,1,control-006
932,2,control-043
933,3,control-080
934,4,control-016
935,5,control-053
936,6,control-090
937,7,control-026
938,8,control-063
939,9,control-100
940,0,control-036
941,1,control-073
942,2,control-009
943,3,control-046
944,4,control-083
945,5,control-019
946,6,control-056
947,7,control-093
948,8,control-029
949,9,control-066
950,0,control-002
951,1,control-039
952,2,control-076
953,3,control-012
954,4,control-049
955,5,control-086
956,6,control-022
957,7,control-059
958,8,control-096
959,9,control-032
960,0,control-069
961,1,control-005
962,2,control-042
963,3,control-079
964,4,control-015
965,5,control-052
966,6,control-089
967,7,control-025
968,8,control-062
969,9,control-099
970,0,control-035
971,1,control-072
972,2,control-008
973,3,control-045
974,4,control-082
975,5,control-018
976,6,control-055
977,7,control-092
978,8,control-028
979,9,control-065
980,0,control-001
981,1,control-038
982,2,control-075
983,3,control-011
984,4,control-048
985,5,control-085
986,6,control-021
987,7,control-058
988,8,control-095
989,9,control-031
990,0,control-068
991,1,control-004
992,2,control-041
993,3,control-078
994,4,control-014
995,5,control-051
996,6,control-088
997,7,control-024
998,8,control-061
999,9,control-098
