id,value
618,8
617,7
616,6
615,5
614,4
613,3
612,2
611,1
610,0
609,9
608,8
607,7
606,6
605,5
604,4
603,3
602,2
601,1
600,0
599,9
598,8
597,7
596,6
595,5
594,4
593,3
592,2
591,1
590,0
589,9
588,8
587,7
586,6
585,5
584,4
583,3
582,2
581,1
580,0
579,9
578,8
577,7
576,6
575,5
574,4
573,3
572,2
571,1
570,0
569,9
568,8
567,7
566,6
565,5
564,4
563,3
562,2
561,1
560,0
559,9
558,8
557,7
556,6
555,5
554,4
553,3
552,2
551,1
550,0
549,9
548,8
547,7
546,6
545,5
544,4
543,3
542,2
541,1
540,0
539,9
538,8
537,7
536,6
535,5
534,4
533,3
532,2
531,1
530,0
529,9
528,8
527,7
526,6
525,5
524,4
523,3
522,2
521,1
520,0
519,9
518,8
517,7
516,6
515,5
514,4
513,3
512,2
511,1
510,0
509,9
508,8
507,7
506,6
505,5
504,4
503,3
502,2
501,1
500,0
499,9
498,8
497,7
496,6
495,5
494,4
493,3
492,2
491,1
490,0
489,9
488,8
487,7
486,6
485,5
484,4
483,3
482,2
481,1
480,0
479,9
478,8
477,7
476,6
475,5
474,4
473,3
472,2
471,1
470,0
469,9
468,8
467,7
466,6
465,5
464,4
463,3
462,2
461,1
460,0
459,9
458,8
457,7
456,6
455,5
454,4
453,3
452,2
451,1
450,0
449,9
448,8
447,7
446,6
445,5
444,4
443,3
442,2
441,1
440,0
439,9
438,8
437,7
436,6
435,5
434,4
433,3
432,2
431,1
430,0
429,9
428,8
427,7
426,6
425,5
424,4
423,3
422,2
421,1
420,0
419,9
418,8
417,7
416,6
415,5
414,4
413,3
412,2
411,1
410,0
409,9
408,8
407,7
406,6
405,5
404,4
403,3
402,2
401,1
400,0
399,9
398,8
397,7
396,6
395,5
394,4
393,3
392,2
391,1
390,0
389,9
388,8
387,7
386,6
385,5
384,4
383,3
382,2
381,1
380,0
379,9
378,8
377,7
376,6
375,5
374,4
373,3
372,2
371,1
370,0
369,9
368,8
367,7
366,6
365,5
364,4
363,3
362,2
361,1
360,0
359,9
358,8
357,7
356,6
355,5
354,4
353,3
352,2
351,1
350,0
349,9
348,8
347,7
346,6
345,5
344,4
343,3
342,2
341,1
340,0
339,9
338,8
337,7
336,6
335,5
334,4
333,3
332,2
331,1
330,0
329,9
328,8
327,7
326,6
325,5
324,4
323,3
322,2
321,1
320,0
319,9
318,8
317,7
316,6
315,5
314,4
313,3
312,2
311,1
310,0
309,9
308,8
307,7
306,6
305,5
304,4
303,3
302,2
301,1
300,0
299,9
298,8
297,7
296,6
295,5
294,4
293,3
292,2
291,1
290,0
289,9
288,8
287,7
286,6
285,5
284,4
283,3
282,2
281,1
280,0
279,9
278,8
277,7
276,6
275,5
274,4
273,3
272,2
271,1
270,0
269,9
268,8
267,7
266,6
265,5
264,4
263,3
262,2
261,1
260,0
259,9
258,8
257,7
256,6
255,5
254,4
253,3
252,2
251,1
250,0
249,9
248,8
247,7
246,6
245,5
244,4
243,3
242,2
241,1
240,0
239,9
238,8
237,7
236,6
235,5
234,4
233,3
232,2
231,1
230,0
229,9
228,8
227,7
226,6
225,5
224,4
223,3
222,2
221,1
220,0
219,9
218,8
217,7
216,6
215,5
214,4
213,3
212,2
211,1
210,0
209,9
208,8
207,7
206,6
205,5
204,4
203,3
202,2
201,1
200,0
199,9
198,8
197,7
196,6
195,5
194,4
193,3
192,2
191,1
190,0
189,9
188,8
187,7
186,6
185,5
184,4
183,3
182,2
181,1
180,0
179,9
178,8
177,7
176,6
175,5
174,4
173,3
172,2
171,1
170,0
169,9
168,8
167,7
166,6
165,5
164,4
163,3
162,2
161,1
160,0
159,9
158,8
157,7
156,6
155,5
154,4
153,3
152,2
151,1
150,0
149,9
148,8
147,7
146,6
145,5
144,4
143,3
142,2
141,1
140,0
139,9
138,8
137,7
136,6
135,5
134,4
133,3
132,2
131,1
130,0
129,9
128,8
127,7
126,6
125,5
124,4
123,3
122,2
121,1
120,0
119,9
118,8
117,7
116,6
115,5
114,4
113,3
112,2
111,1
110,0
109,9
108,8
107,7
106,6
105,5
104,4
103,3
102,2
101,1
100,0
99,9
98,8
97,7
96,6
95,5
94,4
93,3
92,2
91,1
90,0
89,9
88,8
87,7
86,6
85,5
84,4
83,3
82,2
81,1
80,0
79,9
78,8
77,7
76,6
75,5
74,4
73,3
72,2
71,1
70,0
69,9
68,8
67,7
66,6
65,5
64,4
63,3
62,2
61,1
60,0
59,9
58,8
57,7
56,6
55,5
54,4
53,3
52,2
51,1
50,0
49,9
48,8
47,7
46,6
45,5
44,4
43,3
42,2
41,1
40,0
39,9
38,8
37,7
36,6
35,5
34,4
33,3
32,2
31,1
30,0
29,9
28,8
27,7
26,6
25,5
24,4
23,3
22,2
21,1
20,0
19,9
18,8
17,7
16,6
15,5
14,4
13,3
12,2
11,1
10,0
9,9
8,8
7,7
6,6
5,5
4,4
3,3
2,2
1,1
0,0
