id,group,value,metamorphic_control
156,A,1,control-015
157,B,2,control-052
158,C,3,control-089
159,D,4,control-025
160,A,1,control-062
161,B,2,control-099
162,C,3,control-035
163,D,4,control-072
164,A,1,control-008
165,B,2,control-045
166,C,3,control-082
167,D,4,control-018
168,A,1,control-055
169,B,2,control-092
170,C,3,control-028
171,D,4,control-065
172,A,1,control-001
173,B,2,control-038
174,C,3,control-075
175,D,4,control-011
176,A,1,control-048
177,B,2,control-085
178,C,3,control-021
179,D,4,control-058
180,A,1,control-095
181,B,2,control-031
182,C,3,control-068
183,D,4,control-004
184,A,1,control-041
185,B,2,control-078
186,C,3,control-014
187,D,4,control-051
188,A,1,control-088
189,B,2,control-024
190,C,3,control-061
191,D,4,control-098
192,A,1,control-034
193,B,2,control-071
194,C,3,control-007
195,D,4,control-044
196,A,1,control-081
197,B,2,control-017
198,C,3,control-054
199,D,4,control-091
200,A,1,control-027
201,B,2,control-064
202,C,3,control-000
203,D,4,control-037
204,A,1,control-074
205,B,2,control-010
206,C,3,control-047
207,D,4,control-084
208,A,1,control-020
209,B,2,control-057
210,C,3,control-094
211,D,4,control-030
212,A,1,control-067
213,B,2,control-003
214,C,3,control-040
215,D,4,control-077
216,A,1,control-013
217,B,2,control-050
218,C,3,control-087
219,D,4,control-023
220,A,1,control-060
221,B,2,control-097
222,C,3,control-033
223,D,4,control-070
224,A,1,control-006
225,B,2,control-043
226,C,3,control-080
227,D,4,control-016
228,A,1,control-053
229,B,2,control-090
230,C,3,control-026
231,D,4,control-063
232,A,1,control-100
233,B,2,control-036
234,C,3,control-073
235,D,4,control-009
236,A,1,control-046
237,B,2,control-083
238,C,3,control-019
239,D,4,control-056
240,A,1,control-093
241,B,2,control-029
242,C,3,control-066
243,D,4,control-002
244,A,1,control-039
245,B,2,control-076
246,C,3,control-012
247,D,4,control-049
248,A,1,control-086
249,B,2,control-022
250,C,3,control-059
251,D,4,control-096
252,A,1,control-032
253,B,2,control-069
254,C,3,control-005
255,D,4,control-042
256,A,1,control-079
257,B,2,control-015
258,C,3,control-052
259,D,4,control-089
260,A,1,control-025
261,B,2,control-062
262,C,3,control-099
263,D,4,control-035
264,A,1,control-072
265,B,2,control-008
266,C,3,control-045
267,D,4,control-082
268,A,1,control-018
269,B,2,control-055
270,C,3,control-092
271,D,4,control-028
272,A,1,control-065
273,B,2,control-001
274,C,3,control-038
275,D,4,control-075
276,A,1,control-011
277,B,2,control-048
278,C,3,control-085
279,D,4,control-021
280,A,1,control-058
281,B,2,control-095
282,C,3,control-031
283,D,4,control-068
284,A,1,control-004
285,B,2,control-041
286,C,3,control-078
287,D,4,control-014
288,A,1,control-051
289,B,2,control-088
290,C,3,control-024
291,D,4,control-061
292,A,1,control-098
293,B,2,control-034
294,C,3,control-071
295,D,4,control-007
296,A,1,control-044
297,B,2,control-081
298,C,3,control-017
299,D,4,control-054
300,A,1,control-091
301,B,2,control-027
302,C,3,control-064
303,D,4,control-000
304,A,1,control-037
305,B,2,control-074
306,C,3,control-010
307,D,4,control-047
308,A,1,control-084
309,B,2,control-020
310,C,3,control-057
311,D,4,control-094
312,A,1,control-030
313,B,2,control-067
314,C,3,control-003
315,D,4,control-040
316,A,1,control-077
317,B,2,control-013
318,C,3,control-050
319,D,4,control-087
320,A,1,control-023
321,B,2,control-060
322,C,3,control-097
323,D,4,control-033
324,A,1,control-070
325,B,2,control-006
326,C,3,control-043
327,D,4,control-080
328,A,1,control-016
329,B,2,control-053
330,C,3,control-090
331,D,4,control-026
332,A,1,control-063
333,B,2,control-100
334,C,3,control-036
335,D,4,control-073
336,A,1,control-009
337,B,2,control-046
338,C,3,control-083
339,D,4,control-019
340,A,1,control-056
341,B,2,control-093
342,C,3,control-029
343,D,4,control-066
344,A,1,control-002
345,B,2,control-039
346,C,3,control-076
347,D,4,control-012
348,A,1,control-049
349,B,2,control-086
350,C,3,control-022
351,D,4,control-059
352,A,1,control-096
353,B,2,control-032
354,C,3,control-069
355,D,4,control-005
356,A,1,control-042
357,B,2,control-079
358,C,3,control-015
359,D,4,control-052
360,A,1,control-089
361,B,2,control-025
362,C,3,control-062
363,D,4,control-099
364,A,1,control-035
365,B,2,control-072
366,C,3,control-008
367,D,4,control-045
368,A,1,control-082
369,B,2,control-018
370,C,3,control-055
371,D,4,control-092
372,A,1,control-028
373,B,2,control-065
374,C,3,control-001
375,D,4,control-038
376,A,1,control-075
377,B,2,control-011
378,C,3,control-048
379,D,4,control-085
380,A,1,control-021
381,B,2,control-058
382,C,3,control-095
383,D,4,control-031
384,A,1,control-068
385,B,2,control-004
386,C,3,control-041
387,D,4,control-078
388,A,1,control-014
389,B,2,control-051
390,C,3,control-088
391,D,4,control-024
392,A,1,control-061
393,B,2,control-098
394,C,3,control-034
395,D,4,control-071
396,A,1,control-007
397,B,2,control-044
398,C,3,control-081
399,D,4,control-017
400,A,1,control-054
401,B,2,control-091
402,C,3,control-027
403,D,4,control-064
404,A,1,control-000
405,B,2,control-037
406,C,3,control-074
407,D,4,control-010
408,A,1,control-047
409,B,2,control-084
410,C,3,control-020
411,D,4,control-057
412,A,1,control-094
413,B,2,control-030
414,C,3,control-067
415,D,4,control-003
416,A,1,control-040
417,B,2,control-077
418,C,3,control-013
419,D,4,control-050
420,A,1,control-087
421,B,2,control-023
422,C,3,control-060
423,D,4,control-097
424,A,1,control-033
425,B,2,control-070
426,C,3,control-006
427,D,4,control-043
428,A,1,control-080
429,B,2,control-016
430,C,3,control-053
431,D,4,control-090
432,A,1,control-026
433,B,2,control-063
434,C,3,control-100
435,D,4,control-036
436,A,1,control-073
437,B,2,control-009
438,C,3,control-046
439,D,4,control-083
440,A,1,control-019
441,B,2,control-056
442,C,3,control-093
443,D,4,control-029
444,A,1,control-066
445,B,2,control-002
446,C,3,control-039
447,D,4,control-076
448,A,1,control-012
449,B,2,control-049
450,C,3,control-086
451,D,4,control-022
452,A,1,control-059
453,B,2,control-096
454,C,3,control-032
455,D,4,control-069
456,A,1,control-005
457,B,2,control-042
458,C,3,control-079
459,D,4,control-015
460,A,1,control-052
461,B,2,control-089
462,C,3,control-025
463,D,4,control-062
464,A,1,control-099
465,B,2,control-035
466,C,3,control-072
467,D,4,control-008
468,A,1,control-045
469,B,2,control-082
470,C,3,control-018
471,D,4,control-055
472,A,1,control-092
473,B,2,control-028
474,C,3,control-065
475,D,4,control-001
476,A,1,control-038
477,B,2,control-075
478,C,3,control-011
479,D,4,control-048
480,A,1,control-085
481,B,2,control-021
482,C,3,control-058
483,D,4,control-095
484,A,1,control-031
485,B,2,control-068
486,C,3,control-004
487,D,4,control-041
488,A,1,control-078
489,B,2,control-014
490,C,3,control-051
491,D,4,control-088
492,A,1,control-024
493,B,2,control-061
494,C,3,control-098
495,D,4,control-034
496,A,1,control-071
497,B,2,control-007
498,C,3,control-044
499,D,4,control-081
500,A,1,control-017
501,B,2,control-054
502,C,3,control-091
503,D,4,control-027
504,A,1,control-064
505,B,2,control-000
506,C,3,control-037
507,D,4,control-074
508,A,1,control-010
509,B,2,control-047
510,C,3,control-084
511,D,4,control-020
512,A,1,control-057
513,B,2,control-094
514,C,3,control-030
515,D,4,control-067
516,A,1,control-003
517,B,2,control-040
518,C,3,control-077
519,D,4,control-013
520,A,1,control-050
521,B,2,control-087
522,C,3,control-023
523,D,4,control-060
524,A,1,control-097
525,B,2,control-033
526,C,3,control-070
527,D,4,control-006
528,A,1,control-043
529,B,2,control-080
530,C,3,control-016
531,D,4,control-053
532,A,1,control-090
533,B,2,control-026
534,C,3,control-063
535,D,4,control-100
536,A,1,control-036
537,B,2,control-073
538,C,3,control-009
539,D,4,control-046
540,A,1,control-083
541,B,2,control-019
542,C,3,control-056
543,D,4,control-093
544,A,1,control-029
545,B,2,control-066
546,C,3,control-002
547,D,4,control-039
548,A,1,control-076
549,B,2,control-012
550,C,3,control-049
551,D,4,control-086
552,A,1,control-022
553,B,2,control-059
554,C,3,control-096
555,D,4,control-032
556,A,1,control-069
557,B,2,control-005
558,C,3,control-042
559,D,4,control-079
560,A,1,control-015
561,B,2,control-052
562,C,3,control-089
563,D,4,control-025
564,A,1,control-062
565,B,2,control-099
566,C,3,control-035
567,D,4,control-072
568,A,1,control-008
569,B,2,control-045
570,C,3,control-082
571,D,4,control-018
572,A,1,control-055
573,B,2,control-092
574,C,3,control-028
575,D,4,control-065
576,A,1,control-001
577,B,2,control-038
578,C,3,control-075
579,D,4,control-011
580,A,1,control-048
581,B,2,control-085
582,C,3,control-021
583,D,4,control-058
584,A,1,control-095
585,B,2,control-031
586,C,3,control-068
587,D,4,control-004
588,A,1,control-041
589,B,2,control-078
590,C,3,control-014
591,D,4,control-051
592,A,1,control-088
593,B,2,control-024
594,C,3,control-061
595,D,4,control-098
596,A,1,control-034
597,B,2,control-071
598,C,3,control-007
599,D,4,control-044
600,A,1,control-081
601,B,2,control-017
602,C,3,control-054
603,D,4,control-091
604,A,1,control-027
605,B,2,control-064
606,C,3,control-000
607,D,4,control-037
608,A,1,control-074
609,B,2,control-010
610,C,3,control-047
611,D,4,control-084
612,A,1,control-020
613,B,2,control-057
614,C,3,control-094
615,D,4,control-030
616,A,1,control-067
617,B,2,control-003
618,C,3,control-040
619,D,4,control-077
620,A,1,control-013
621,B,2,control-050
622,C,3,control-087
623,D,4,control-023
624,A,1,control-060
625,B,2,control-097
626,C,3,control-033
627,D,4,control-070
628,A,1,control-006
629,B,2,control-043
630,C,3,control-080
631,D,4,control-016
632,A,1,control-053
633,B,2,control-090
634,C,3,control-026
635,D,4,control-063
636,A,1,control-100
637,B,2,control-036
638,C,3,control-073
639,D,4,control-009
640,A,1,control-046
641,B,2,control-083
642,C,3,control-019
643,D,4,control-056
644,A,1,control-093
645,B,2,control-029
646,C,3,control-066
647,D,4,control-002
648,A,1,control-039
649,B,2,control-076
650,C,3,control-012
651,D,4,control-049
652,A,1,control-086
653,B,2,control-022
654,C,3,control-059
655,D,4,control-096
656,A,1,control-032
657,B,2,control-069
658,C,3,control-005
659,D,4,control-042
660,A,1,control-079
661,B,2,control-015
662,C,3,control-052
663,D,4,control-089
664,A,1,control-025
665,B,2,control-062
666,C,3,control-099
667,D,4,control-035
668,A,1,control-072
669,B,2,control-008
670,C,3,control-045
671,D,4,control-082
672,A,1,control-018
673,B,2,control-055
674,C,3,control-092
675,D,4,control-028
676,A,1,control-065
677,B,2,control-001
678,C,3,control-038
679,D,4,control-075
680,A,1,control-011
681,B,2,control-048
682,C,3,control-085
683,D,4,control-021
684,A,1,control-058
685,B,2,control-095
686,C,3,control-031
687,D,4,control-068
688,A,1,control-004
689,B,2,control-041
690,C,3,control-078
691,D,4,control-014
692,A,1,control-051
693,B,2,control-088
694,C,3,control-024
695,D,4,control-061
696,A,1,control-098
697,B,2,control-034
698,C,3,control-071
699,D,4,control-007
700,A,1,control-044
701,B,2,control-081
702,C,3,control-017
703,D,4,control-054
704,A,1,control-091
705,B,2,control-027
706,C,3,control-064
707,D,4,control-000
708,A,1,control-037
709,B,2,control-074
710,C,3,control-010
711,D,4,control-047
712,A,1,control-084
713,B,2,control-020
714,C,3,control-057
715,D,4,control-094
716,A,1,control-030
717,B,2,control-067
718,C,3,control-003
719,D,4,control-040
720,A,1,control-077
721,B,2,control-013
722,C,3,control-050
723,D,4,control-087
724,A,1,control-023
725,B,2,control-060
726,C,3,control-097
727,D,4,control-033
728,A,1,control-070
729,B,2,control-006
730,C,3,control-043
731,D,4,control-080
732,A,1,control-016
733,B,2,control-053
734,C,3,control-090
735,D,4,control-026
736,A,1,control-063
737,B,2,control-100
738,C,3,control-036
739,D,4,control-073
740,A,1,control-009
741,B,2,control-046
742,C,3,control-083
743,D,4,control-019
744,A,1,control-056
745,B,2,control-093
746,C,3,control-029
747,D,4,control-066
748,A,1,control-002
749,B,2,control-039
750,C,3,control-076
751,D,4,control-012
752,A,1,control-049
753,B,2,control-086
754,C,3,control-022
755,D,4,control-059
756,A,1,control-096
757,B,2,control-032
758,C,3,control-069
759,D,4,control-005
760,A,1,control-042
761,B,2,control-079
762,C,3,control-015
763,D,4,control-052
764,A,1,control-089
765,B,2,control-025
766,C,3,control-062
767,D,4,control-099
768,A,1,control-035
769,B,2,control-072
770,C,3,control-008
771,D,4,control-045
772,A,1,control-082
773,B,2,control-018
774,C,3,control-055
775,D,4,control-092
776,A,1,control-028
777,B,2,control-065
778,C,3,control-001
779,D,4,control-038
780,A,1,control-075
781,B,2,control-011
782,C,3,control-048
783,D,4,control-085
784,A,1,control-021
785,B,2,control-058
786,C,3,control-095
787,D,4,control-031
788,A,1,control-068
789,B,2,control-004
790,C,3,control-041
791,D,4,control-078
792,A,1,control-014
793,B,2,control-051
794,C,3,control-088
795,D,4,control-024
796,A,1,control-061
797,B,2,control-098
798,C,3,control-034
799,D,4,control-071
800,A,1,control-007
801,B,2,control-044
802,C,3,control-081
803,D,4,control-017
804,A,1,control-054
805,B,2,control-091
806,C,3,control-027
807,D,4,control-064
808,A,1,control-000
809,B,2,control-037
810,C,3,control-074
811,D,4,control-010
812,A,1,control-047
813,B,2,control-084
814,C,3,control-020
815,D,4,control-057
816,A,1,control-094
817,B,2,control-030
818,C,3,control-067
819,D,4,control-003
820,A,1,control-040
821,B,2,control-077
822,C,3,control-013
823,D,4,control-050
824,A,1,control-087
825,B,2,control-023
826,C,3,control-060
827,D,4,control-097
828,A,1,control-033
829,B,2,control-070
830,C,3,control-006
831,D,4,control-043
832,A,1,control-080
833,B,2,control-016
834,C,3,control-053
835,D,4,control-090
836,A,1,control-026
837,B,2,control-063
838,C,3,control-100
839,D,4,control-036
840,A,1,control-073
841,B,2,control-009
842,C,3,control-046
843,D,4,control-083
844,A,1,control-019
845,B,2,control-056
846,C,3,control-093
847,D,4,control-029
848,A,1,control-066
849,B,2,control-002
850,C,3,control-039
851,D,4,control-076
852,A,1,control-012
853,B,2,control-049
854,C,3,control-086
855,D,4,control-022
856,A,1,control-059
857,B,2,control-096
858,C,3,control-032
859,D,4,control-069
860,A,1,control-005
861,B,2,control-042
862,C,3,control-079
863,D,4,control-015
864,A,1,control-052
865,B,2,control-089
866,C,3,control-025
867,D,4,control-062
868,A,1,control-099
869,B,2,control-035
870,C,3,control-072
871,D,4,control-008
872,A,1,control-045
873,B,2,control-082
874,C,3,control-018
875,D,4,control-055
876,A,1,control-092
877,B,2,control-028
878,C,3,control-065
879,D,4,control-001
880,A,1,control-038
881,B,2,control-075
882,C,3,control-011
883,D,4,control-048
884,A,1,control-085
885,B,2,control-021
886,C,3,control-058
887,D,4,control-095
888,A,1,control-031
889,B,2,control-068
890,C,3,control-004
891,D,4,control-041
892,A,1,control-078
893,B,2,control-014
894,C,3,control-051
895,D,4,control-088
896,A,1,control-024
897,B,2,control-061
898,C,3,control-098
899,D,4,control-034
900,A,1,control-071
901,B,2,control-007
902,C,3,control-044
903,D,4,control-081
904,A,1,control-017
905,B,2,control-054
906,C,3,control-091
907,D,4,control-027
908,A,1,control-064
909,B,2,control-000
910,C,3,control-037
911,D,4,control-074
912,A,1,control-010
913,B,2,control-047
914,C,3,control-084
915,D,4,control-020
916,A,1,control-057
917,B,2,control-094
918,C,3,control-030
919,D,4,control-067
920,A,1,control-003
921,B,2,control-040
922,C,3,control-077
923,D,4,control-013
924,A,1,control-050
925,B,2,control-087
926,C,3,control-023
927,D,4,control-060
928,A,1,control-097
929,B,2,control-033
930,C,3,control-070
931,D,4,control-006
932,A,1,control-043
933,B,2,control-080
934,C,3,control-016
935,D,4,control-053
936,A,1,control-090
937,B,2,control-026
938,C,3,control-063
939,D,4,control-100
940,A,1,control-036
941,B,2,control-073
942,C,3,control-009
943,D,4,control-046
944,A,1,control-083
945,B,2,control-019
946,C,3,control-056
947,D,4,control-093
948,A,1,control-029
949,B,2,control-066
950,C,3,control-002
951,D,4,control-039
952,A,1,control-076
953,B,2,control-012
954,C,3,control-049
955,D,4,control-086
956,A,1,control-022
957,B,2,control-059
958,C,3,control-096
959,D,4,control-032
960,A,1,control-069
961,B,2,control-005
962,C,3,control-042
963,D,4,control-079
964,A,1,control-015
965,B,2,control-052
966,C,3,control-089
967,D,4,control-025
968,A,1,control-062
969,B,2,control-099
970,C,3,control-035
971,D,4,control-072
972,A,1,control-008
973,B,2,control-045
974,C,3,control-082
975,D,4,control-018
976,A,1,control-055
977,B,2,control-092
978,C,3,control-028
979,D,4,control-065
980,A,1,control-001
981,B,2,control-038
982,C,3,control-075
983,D,4,control-011
984,A,1,control-048
985,B,2,control-085
986,C,3,control-021
987,D,4,control-058
988,A,1,control-095
989,B,2,control-031
990,C,3,control-068
991,D,4,control-004
992,A,1,control-041
993,B,2,control-078
994,C,3,control-014
995,D,4,control-051
996,A,1,control-088
997,B,2,control-024
998,C,3,control-061
999,D,4,control-098
