id,cluster_id,x,y,metamorphic_control
379,D,12,12,control-085
380,A,-12,-12,control-021
381,B,12,-12,control-058
382,C,-12,12,control-095
383,D,12,12,control-031
384,A,-12,-12,control-068
385,B,12,-12,control-004
386,C,-12,12,control-041
387,D,12,12,control-078
388,A,-12,-12,control-014
389,B,12,-12,control-051
390,C,-12,12,control-088
391,D,12,12,control-024
392,A,-12,-12,control-061
393,B,12,-12,control-098
394,C,-12,12,control-034
395,D,12,12,control-071
396,A,-12,-12,control-007
397,B,12,-12,control-044
398,C,-12,12,control-081
399,D,12,12,control-017
400,A,-12,-12,control-054
401,B,12,-12,control-091
402,C,-12,12,control-027
403,D,12,12,control-064
404,A,-12,-12,control-000
405,B,12,-12,control-037
406,C,-12,12,control-074
407,D,12,12,control-010
408,A,-12,-12,control-047
409,B,12,-12,control-084
410,C,-12,12,control-020
411,D,12,12,control-057
412,A,-12,-12,control-094
413,B,12,-12,control-030
414,C,-12,12,control-067
415,D,12,12,control-003
416,A,-12,-12,control-040
417,B,12,-12,control-077
418,C,-12,12,control-013
419,D,12,12,control-050
420,A,-12,-12,control-087
421,B,12,-12,control-023
422,C,-12,12,control-060
423,D,12,12,control-097
424,A,-12,-12,control-033
425,B,12,-12,control-070
426,C,-12,12,control-006
427,D,12,12,control-043
428,A,-12,-12,control-080
429,B,12,-12,control-016
430,C,-12,12,control-053
431,D,12,12,control-090
432,A,-12,-12,control-026
433,B,12,-12,control-063
434,C,-12,12,control-100
435,D,12,12,control-036
436,A,-12,-12,control-073
437,B,12,-12,control-009
438,C,-12,12,control-046
439,D,12,12,control-083
440,A,-12,-12,control-019
441,B,12,-12,control-056
442,C,-12,12,control-093
443,D,12,12,control-029
444,A,-12,-12,control-066
445,B,12,-12,control-002
446,C,-12,12,control-039
447,D,12,12,control-076
448,A,-12,-12,control-012
449,B,12,-12,control-049
450,C,-12,12,control-086
451,D,12,12,control-022
452,A,-12,-12,control-059
453,B,12,-12,control-096
454,C,-12,12,control-032
455,D,12,12,control-069
456,A,-12,-12,control-005
457,B,12,-12,control-042
458,C,-12,12,control-079
459,D,12,12,control-015
460,A,-12,-12,control-052
461,B,12,-12,control-089
462,C,-12,12,control-025
463,D,12,12,control-062
464,A,-12,-12,control-099
465,B,12,-12,control-035
466,C,-12,12,control-072
467,D,12,12,control-008
468,A,-12,-12,control-045
469,B,12,-12,control-082
470,C,-12,12,control-018
471,D,12,12,control-055
472,A,-12,-12,control-092
473,B,12,-12,control-028
474,C,-12,12,control-065
475,D,12,12,control-001
476,A,-12,-12,control-038
477,B,12,-12,control-075
478,C,-12,12,control-011
479,D,12,12,control-048
480,A,-12,-12,control-085
481,B,12,-12,control-021
482,C,-12,12,control-058
483,D,12,12,control-095
484,A,-12,-12,control-031
485,B,12,-12,control-068
486,C,-12,12,control-004
487,D,12,12,control-041
488,A,-12,-12,control-078
489,B,12,-12,control-014
490,C,-12,12,control-051
491,D,12,12,control-088
492,A,-12,-12,control-024
493,B,12,-12,control-061
494,C,-12,12,control-098
495,D,12,12,control-034
496,A,-12,-12,control-071
497,B,12,-12,control-007
498,C,-12,12,control-044
499,D,12,12,control-081
500,A,-12,-12,control-017
501,B,12,-12,control-054
502,C,-12,12,control-091
503,D,12,12,control-027
504,A,-12,-12,control-064
505,B,12,-12,control-000
506,C,-12,12,control-037
507,D,12,12,control-074
508,A,-12,-12,control-010
509,B,12,-12,control-047
510,C,-12,12,control-084
511,D,12,12,control-020
512,A,-12,-12,control-057
513,B,12,-12,control-094
514,C,-12,12,control-030
515,D,12,12,control-067
516,A,-12,-12,control-003
517,B,12,-12,control-040
518,C,-12,12,control-077
519,D,12,12,control-013
520,A,-12,-12,control-050
521,B,12,-12,control-087
522,C,-12,12,control-023
523,D,12,12,control-060
524,A,-12,-12,control-097
525,B,12,-12,control-033
526,C,-12,12,control-070
527,D,12,12,control-006
528,A,-12,-12,control-043
529,B,12,-12,control-080
530,C,-12,12,control-016
531,D,12,12,control-053
532,A,-12,-12,control-090
533,B,12,-12,control-026
534,C,-12,12,control-063
535,D,12,12,control-100
536,A,-12,-12,control-036
537,B,12,-12,control-073
538,C,-12,12,control-009
539,D,12,12,control-046
540,A,-12,-12,control-083
541,B,12,-12,control-019
542,C,-12,12,control-056
543,D,12,12,control-093
544,A,-12,-12,control-029
545,B,12,-12,control-066
546,C,-12,12,control-002
547,D,12,12,control-039
548,A,-12,-12,control-076
549,B,12,-12,control-012
550,C,-12,12,control-049
551,D,12,12,control-086
552,A,-12,-12,control-022
553,B,12,-12,control-059
554,C,-12,12,control-096
555,D,12,12,control-032
556,A,-12,-12,control-069
557,B,12,-12,control-005
558,C,-12,12,control-042
559,D,12,12,control-079
560,A,-12,-12,control-015
561,B,12,-12,control-052
562,C,-12,12,control-089
563,D,12,12,control-025
564,A,-12,-12,control-062
565,B,12,-12,control-099
566,C,-12,12,control-035
567,D,12,12,control-072
568,A,-12,-12,control-008
569,B,12,-12,control-045
570,C,-12,12,control-082
571,D,12,12,control-018
572,A,-12,-12,control-055
573,B,12,-12,control-092
574,C,-12,12,control-028
575,D,12,12,control-065
576,A,-12,-12,control-001
577,B,12,-12,control-038
578,C,-12,12,control-075
579,D,12,12,control-011
580,A,-12,-12,control-048
581,B,12,-12,control-085
582,C,-12,12,control-021
583,D,12,12,control-058
584,A,-12,-12,control-095
585,B,12,-12,control-031
586,C,-12,12,control-068
587,D,12,12,control-004
588,A,-12,-12,control-041
589,B,12,-12,control-078
590,C,-12,12,control-014
591,D,12,12,control-051
592,A,-12,-12,control-088
593,B,12,-12,control-024
594,C,-12,12,control-061
595,D,12,12,control-098
596,A,-12,-12,control-034
597,B,12,-12,control-071
598,C,-12,12,control-007
599,D,12,12,control-044
600,A,-12,-12,control-081
601,B,12,-12,control-017
602,C,-12,12,control-054
603,D,12,12,control-091
604,A,-12,-12,control-027
605,B,12,-12,control-064
606,C,-12,12,control-000
607,D,12,12,control-037
608,A,-12,-12,control-074
609,B,12,-12,control-010
610,C,-12,12,control-047
611,D,12,12,control-084
612,A,-12,-12,control-020
613,B,12,-12,control-057
614,C,-12,12,control-094
615,D,12,12,control-030
616,A,-12,-12,control-067
617,B,12,-12,control-003
618,C,-12,12,control-040
619,D,12,12,control-077
620,A,-12,-12,control-013
621,B,12,-12,control-050
622,C,-12,12,control-087
623,D,12,12,control-023
624,A,-12,-12,control-060
625,B,12,-12,control-097
626,C,-12,12,control-033
627,D,12,12,control-070
628,A,-12,-12,control-006
629,B,12,-12,control-043
630,C,-12,12,control-080
631,D,12,12,control-016
632,A,-12,-12,control-053
633,B,12,-12,control-090
634,C,-12,12,control-026
635,D,12,12,control-063
636,A,-12,-12,control-100
637,B,12,-12,control-036
638,C,-12,12,control-073
639,D,12,12,control-009
640,A,-12,-12,control-046
641,B,12,-12,control-083
642,C,-12,12,control-019
643,D,12,12,control-056
644,A,-12,-12,control-093
645,B,12,-12,control-029
646,C,-12,12,control-066
647,D,12,12,control-002
648,A,-12,-12,control-039
649,B,12,-12,control-076
650,C,-12,12,control-012
651,D,12,12,control-049
652,A,-12,-12,control-086
653,B,12,-12,control-022
654,C,-12,12,control-059
655,D,12,12,control-096
656,A,-12,-12,control-032
657,B,12,-12,control-069
658,C,-12,12,control-005
659,D,12,12,control-042
660,A,-12,-12,control-079
661,B,12,-12,control-015
662,C,-12,12,control-052
663,D,12,12,control-089
664,A,-12,-12,control-025
665,B,12,-12,control-062
666,C,-12,12,control-099
667,D,12,12,control-035
668,A,-12,-12,control-072
669,B,12,-12,control-008
670,C,-12,12,control-045
671,D,12,12,control-082
672,A,-12,-12,control-018
673,B,12,-12,control-055
674,C,-12,12,control-092
675,D,12,12,control-028
676,A,-12,-12,control-065
677,B,12,-12,control-001
678,C,-12,12,control-038
679,D,12,12,control-075
680,A,-12,-12,control-011
681,B,12,-12,control-048
682,C,-12,12,control-085
683,D,12,12,control-021
684,A,-12,-12,control-058
685,B,12,-12,control-095
686,C,-12,12,control-031
687,D,12,12,control-068
688,A,-12,-12,control-004
689,B,12,-12,control-041
690,C,-12,12,control-078
691,D,12,12,control-014
692,A,-12,-12,control-051
693,B,12,-12,control-088
694,C,-12,12,control-024
695,D,12,12,control-061
696,A,-12,-12,control-098
697,B,12,-12,control-034
698,C,-12,12,control-071
699,D,12,12,control-007
700,A,-12,-12,control-044
701,B,12,-12,control-081
702,C,-12,12,control-017
703,D,12,12,control-054
704,A,-12,-12,control-091
705,B,12,-12,control-027
706,C,-12,12,control-064
707,D,12,12,control-000
708,A,-12,-12,control-037
709,B,12,-12,control-074
710,C,-12,12,control-010
711,D,12,12,control-047
712,A,-12,-12,control-084
713,B,12,-12,control-020
714,C,-12,12,control-057
715,D,12,12,control-094
716,A,-12,-12,control-030
717,B,12,-12,control-067
718,C,-12,12,control-003
719,D,12,12,control-040
720,A,-12,-12,control-077
721,B,12,-12,control-013
722,C,-12,12,control-050
723,D,12,12,control-087
724,A,-12,-12,control-023
725,B,12,-12,control-060
726,C,-12,12,control-097
727,D,12,12,control-033
728,A,-12,-12,control-070
729,B,12,-12,control-006
730,C,-12,12,control-043
731,D,12,12,control-080
732,A,-12,-12,control-016
733,B,12,-12,control-053
734,C,-12,12,control-090
735,D,12,12,control-026
736,A,-12,-12,control-063
737,B,12,-12,control-100
738,C,-12,12,control-036
739,D,12,12,control-073
740,A,-12,-12,control-009
741,B,12,-12,control-046
742,C,-12,12,control-083
743,D,12,12,control-019
744,A,-12,-12,control-056
745,B,12,-12,control-093
746,C,-12,12,control-029
747,D,12,12,control-066
748,A,-12,-12,control-002
749,B,12,-12,control-039
750,C,-12,12,control-076
751,D,12,12,control-012
752,A,-12,-12,control-049
753,B,12,-12,control-086
754,C,-12,12,control-022
755,D,12,12,control-059
756,A,-12,-12,control-096
757,B,12,-12,control-032
758,C,-12,12,control-069
759,D,12,12,control-005
760,A,-12,-12,control-042
761,B,12,-12,control-079
762,C,-12,12,control-015
763,D,12,12,control-052
764,A,-12,-12,control-089
765,B,12,-12,control-025
766,C,-12,12,control-062
767,D,12,12,control-099
768,A,-12,-12,control-035
769,B,12,-12,control-072
770,C,-12,12,control-008
771,D,12,12,control-045
772,A,-12,-12,control-082
773,B,12,-12,control-018
774,C,-12,12,control-055
775,D,12,12,control-092
776,A,-12,-12,control-028
777,B,12,-12,control-065
778,C,-12,12,control-001
779,D,12,12,control-038
780,A,-12,-12,control-075
781,B,12,-12,control-011
782,C,-12,12,control-048
783,D,12,12,control-085
784,A,-12,-12,control-021
785,B,12,-12,control-058
786,C,-12,12,control-095
787,D,12,12,control-031
788,A,-12,-12,control-068
789,B,12,-12,control-004
790,C,-12,12,control-041
791,D,12,12,control-078
792,A,-12,-12,control-014
793,B,12,-12,control-051
794,C,-12,12,control-088
795,D,12,12,control-024
796,A,-12,-12,control-061
797,B,12,-12,control-098
798,C,-12,12,control-034
799,D,12,12,control-071
800,A,-12,-12,control-007
801,B,12,-12,control-044
802,C,-12,12,control-081
803,D,12,12,control-017
804,A,-12,-12,control-054
805,B,12,-12,control-091
806,C,-12,12,control-027
807,D,12,12,control-064
808,A,-12,-12,control-000
809,B,12,-12,control-037
810,C,-12,12,control-074
811,D,12,12,control-010
812,A,-12,-12,control-047
813,B,12,-12,control-084
814,C,-12,12,control-020
815,D,12,12,control-057
816,A,-12,-12,control-094
817,B,12,-12,control-030
818,C,-12,12,control-067
819,D,12,12,control-003
820,A,-12,-12,control-040
821,B,12,-12,control-077
822,C,-12,12,control-013
823,D,12,12,control-050
824,A,-12,-12,control-087
825,B,12,-12,control-023
826,C,-12,12,control-060
827,D,12,12,control-097
828,A,-12,-12,control-033
829,B,12,-12,control-070
830,C,-12,12,control-006
831,D,12,12,control-043
832,A,-12,-12,control-080
833,B,12,-12,control-016
834,C,-12,12,control-053
835,D,12,12,control-090
836,A,-12,-12,control-026
837,B,12,-12,control-063
838,C,-12,12,control-100
839,D,12,12,control-036
840,A,-12,-12,control-073
841,B,12,-12,control-009
842,C,-12,12,control-046
843,D,12,12,control-083
844,A,-12,-12,control-019
845,B,12,-12,control-056
846,C,-12,12,control-093
847,D,12,12,control-029
848,A,-12,-12,control-066
849,B,12,-12,control-002
850,C,-12,12,control-039
851,D,12,12,control-076
852,A,-12,-12,control-012
853,B,12,-12,control-049
854,C,-12,12,control-086
855,D,12,12,control-022
856,A,-12,-12,control-059
857,B,12,-12,control-096
858,C,-12,12,control-032
859,D,12,12,control-069
860,A,-12,-12,control-005
861,B,12,-12,control-042
862,C,-12,12,control-079
863,D,12,12,control-015
864,A,-12,-12,control-052
865,B,12,-12,control-089
866,C,-12,12,control-025
867,D,12,12,control-062
868,A,-12,-12,control-099
869,B,12,-12,control-035
870,C,-12,12,control-072
871,D,12,12,control-008
872,A,-12,-12,control-045
873,B,12,-12,control-082
874,C,-12,12,control-018
875,D,12,12,control-055
876,A,-12,-12,control-092
877,B,12,-12,control-028
878,C,-12,12,control-065
879,D,12,12,control-001
880,A,-12,-12,control-038
881,B,12,-12,control-075
882,C,-12,12,control-011
883,D,12,12,control-048
884,A,-12,-12,control-085
885,B,12,-12,control-021
886,C,-12,12,control-058
887,D,12,12,control-095
888,A,-12,-12,control-031
889,B,12,-12,control-068
890,C,-12,12,control-004
891,D,12,12,control-041
892,A,-12,-12,control-078
893,B,12,-12,control-014
894,C,-12,12,control-051
895,D,12,12,control-088
896,A,-12,-12,control-024
897,B,12,-12,control-061
898,C,-12,12,control-098
899,D,12,12,control-034
900,A,-12,-12,control-071
901,B,12,-12,control-007
902,C,-12,12,control-044
903,D,12,12,control-081
904,A,-12,-12,control-017
905,B,12,-12,control-054
906,C,-12,12,control-091
907,D,12,12,control-027
908,A,-12,-12,control-064
909,B,12,-12,control-000
910,C,-12,12,control-037
911,D,12,12,control-074
912,A,-12,-12,control-010
913,B,12,-12,control-047
914,C,-12,12,control-084
915,D,12,12,control-020
916,A,-12,-12,control-057
917,B,12,-12,control-094
918,C,-12,12,control-030
919,D,12,12,control-067
920,A,-12,-12,control-003
921,B,12,-12,control-040
922,C,-12,12,control-077
923,D,12,12,control-013
924,A,-12,-12,control-050
925,B,12,-12,control-087
926,C,-12,12,control-023
927,D,12,12,control-060
928,A,-12,-12,control-097
929,B,12,-12,control-033
930,C,-12,12,control-070
931,D,12,12,control-006
932,A,-12,-12,control-043
933,B,12,-12,control-080
934,C,-12,12,control-016
935,D,12,12,control-053
936,A,-12,-12,control-090
937,B,12,-12,control-026
938,C,-12,12,control-063
939,D,12,12,control-100
940,A,-12,-12,control-036
941,B,12,-12,control-073
942,C,-12,12,control-009
943,D,12,12,control-046
944,A,-12,-12,control-083
945,B,12,-12,control-019
946,C,-12,12,control-056
947,D,12,12,control-093
948,A,-12,-12,control-029
949,B,12,-12,control-066
950,C,-12,12,control-002
951,D,12,12,control-039
952,A,-12,-12,control-076
953,B,12,-12,control-012
954,C,-12,12,control-049
955,D,12,12,control-086
956,A,-12,-12,control-022
957,B,12,-12,control-059
958,C,-12,12,control-096
959,D,12,12,control-032
960,A,-12,-12,control-069
961,B,12,-12,control-005
962,C,-12,12,control-042
963,D,12,12,control-079
964,A,-12,-12,control-015
965,B,12,-12,control-052
966,C,-12,12,control-089
967,D,12,12,control-025
968,A,-12,-12,control-062
969,B,12,-12,control-099
970,C,-12,12,control-035
971,D,12,12,control-072
972,A,-12,-12,control-008
973,B,12,-12,control-045
974,C,-12,12,control-082
975,D,12,12,control-018
976,A,-12,-12,control-055
977,B,12,-12,control-092
978,C,-12,12,control-028
979,D,12,12,control-065
980,A,-12,-12,control-001
981,B,12,-12,control-038
982,C,-12,12,control-075
983,D,12,12,control-011
984,A,-12,-12,control-048
985,B,12,-12,control-085
986,C,-12,12,control-021
987,D,12,12,control-058
988,A,-12,-12,control-095
989,B,12,-12,control-031
990,C,-12,12,control-068
991,D,12,12,control-004
992,A,-12,-12,control-041
993,B,12,-12,control-078
994,C,-12,12,control-014
995,D,12,12,control-051
996,A,-12,-12,control-088
997,B,12,-12,control-024
998,C,-12,12,control-061
999,D,12,12,control-098
